No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
863,サーティワン アイスクリーム秋田茨島マックスバリュ店,010-0065,秋田市,茨島4-3-18,,018-862-0431,3.小売（お土産等）,,https://www.google.com/maps/search/?api=863&query=秋田市茨島4-3-18,,,,
864,ファミリーマート秋田割山店,010-1605,秋田市,新屋勝平町4-19,,018-883-3168,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=864&query=秋田市新屋勝平町4-19,,,,
865,ファミリーマート秋田土崎中央店,011-0946,秋田市,土崎港中央1-16-41,,018-880-3350,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=865&query=秋田市土崎港中央1-16-41,,,,
866,浮田産交タクシー　本社,010-1623,秋田市,新屋町字渋谷地96-14,,018-888-9600,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=866&query=秋田市新屋町字渋谷地96-14,,,,
867,稲庭中華そば秋田本店,010-0001,秋田市,中通6-19-8,,018-853-8121,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=867&query=秋田市中通6-19-8,,,,
868,ローソン秋田外旭川八柳店,010-0803,秋田市,外旭川八柳3-16-8,,018-868-1539,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=868&query=秋田市外旭川八柳3-16-8,,,,
869,ヤマダデンキ 家電住まいる館ＹＡＭＡＤＡ秋田本店,010-0976,秋田市,八橋南2-4-6,,018-883-0800,21.その他,家電,https://www.google.com/maps/search/?api=869&query=秋田市八橋南2-4-6,,,,
870,ヴィ・ド・フランス秋田,010-0001,秋田市,中通7-1-2　,トピコ1F,018-884-0046,3.小売（お土産等）,,https://www.google.com/maps/search/?api=870&query=秋田市中通7-1-2　,,,,
871,ローソン　秋田保戸野原の町店,010-0904,秋田市,保戸野原の町8-43,,018-867-8805,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=871&query=秋田市保戸野原の町8-43,,,,
872,ローソン　秋田保戸野千代田町店,010-0914,秋田市,保戸野千代田町13-37,,018-853-0177,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=872&query=秋田市保戸野千代田町13-37,,,,
873,ローソン　秋田日赤病院前店,010-1403,秋田市,上北手荒巻字堺切27-1,,018-829-5070,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=873&query=秋田市上北手荒巻字堺切27-1,,,,
874,Dining想,010-0921,秋田市,大町一丁目3-22,,018-866-1237,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=874&query=秋田市大町一丁目3-22,,,,
875,セブン-イレブン　秋田旭南1丁目店,010-0925,秋田市,旭南1丁目9-26,,018-864-1750,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=875&query=秋田市旭南1丁目9-26,,,,
876,ローソン　秋田キャッスルホテル店,010-0001,秋田市,中通1-3-5,,018-884-6847,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=876&query=秋田市中通1-3-5,,,,
877,ローソン　秋田駅西店,010-0874,秋田市,千秋久保田町3-15,,018-836-7177,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=877&query=秋田市千秋久保田町3-15,,,,
878,ローソン　秋田泉ななかまど通り店,010-0904,秋田市,保戸野原の町16-33,,018-863-5653,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=878&query=秋田市保戸野原の町16-33,,,,
879,そば処たちそば,010-0011,秋田市,南通亀の町1-3,,018-834-1851,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=879&query=秋田市南通亀の町1-3,,,,
880,ファミリーマート秋田赤れんが館通り店,010-0921,秋田市,大町五丁目4-25,,018-883-3700,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=880&query=秋田市大町五丁目4-25,,,,
881,ファミリーマート秋田南通り店,010-0011,秋田市,南通亀の町6-2,,018-884-3911,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=881&query=秋田市南通亀の町6-2,,,,
882,ファミリーマート秋田仁井田新中島店,010-1423,秋田市,仁井田字新中島1138-2,,018-892-7220,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=882&query=秋田市仁井田字新中島1138-2,,,,
883,ファミリーマート秋田御野場二丁目店,010-1424,秋田市,御野場2-1-8,,018-892-6355,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=883&query=秋田市御野場2-1-8,,,,
884,ファミリーマート秋田茨島四丁目店,010-0065,秋田市,茨島四丁目19-54,,018-883-1810,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=884&query=秋田市茨島四丁目19-54,,,,
885,ローソン　秋田割山店,010-1612,秋田市,新屋豊町7-86,,018-867-2875,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=885&query=秋田市新屋豊町7-86,,,,
886,アルファベッツアルファベット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6574,21.その他,衣料品店,https://www.google.com/maps/search/?api=886&query=秋田市御所野地蔵田1-1-1,,,,
887,axesfemme,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6647,21.その他,衣料品店,https://www.google.com/maps/search/?api=887&query=秋田市御所野地蔵田1-1-1,,,,
888,ハニーズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6598,21.その他,衣料品店,https://www.google.com/maps/search/?api=888&query=秋田市御所野地蔵田1-1-1,,,,
889,アズノゥアズピンキー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-3600,21.その他,衣料品店,https://www.google.com/maps/search/?api=889&query=秋田市御所野地蔵田1-1-1,,,,
890,平徳本店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-833-2228,21.その他,衣料品店,https://www.google.com/maps/search/?api=890&query=秋田市御所野地蔵田1-1-1,,,,
891,ルピシア,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6586,21.その他,食品,https://www.google.com/maps/search/?api=891&query=秋田市御所野地蔵田1-1-1,,,,
892,ディッパーダン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-7730,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=892&query=秋田市御所野地蔵田1-1-1,,,,
893,ラグノオ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4788,3.小売（お土産等）,,https://www.google.com/maps/search/?api=893&query=秋田市御所野地蔵田1-1-1,,,,
894,サンクゼール/久世福商店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-4070,21.その他,食品,https://www.google.com/maps/search/?api=894&query=秋田市御所野地蔵田1-1-1,,,,
895,エガミ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4113,21.その他,衣料品店,https://www.google.com/maps/search/?api=895&query=秋田市御所野地蔵田1-1-1,,,,
896,ファンケル,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-4113,21.その他,雑貨,https://www.google.com/maps/search/?api=896&query=秋田市御所野地蔵田1-1-1,,,,
897,ビューティーアイラッシュ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-7229,21.その他,エステ,https://www.google.com/maps/search/?api=897&query=秋田市御所野地蔵田1-1-1,,,,
898,スターバックスコーヒー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6588,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=898&query=秋田市御所野地蔵田1-1-1,,,,
899,アナヒータストーンズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-3501,21.その他,雑貨,https://www.google.com/maps/search/?api=899&query=秋田市御所野地蔵田1-1-1,,,,
900,無印良品,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6652,21.その他,雑貨,https://www.google.com/maps/search/?api=900&query=秋田市御所野地蔵田1-1-1,,,,
901,お茶の井ヶ田　喜久水庵,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6959,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=901&query=秋田市御所野地蔵田1-1-1,,,,
902,アズールバイマウジー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-874-9125,21.その他,ファッション,https://www.google.com/maps/search/?api=902&query=秋田市御所野地蔵田1-1-1,,,,
903,コムサイズム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-8505,21.その他,衣料品店,https://www.google.com/maps/search/?api=903&query=秋田市御所野地蔵田1-1-1,,,,
904,ベーネポスト,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-6556,21.その他,衣料品店,https://www.google.com/maps/search/?api=904&query=秋田市御所野地蔵田1-1-1,,,,
905,ハピネス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-892-7106,21.その他,雑貨,https://www.google.com/maps/search/?api=905&query=秋田市御所野地蔵田1-1-1,,,,
906,ポポ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6636,21.その他,化粧品,https://www.google.com/maps/search/?api=906&query=秋田市御所野地蔵田1-1-1,,,,
907,オアシス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-0116,21.その他,衣服店,https://www.google.com/maps/search/?api=907&query=秋田市御所野地蔵田1-1-1,,,,
908,アリー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6654,21.その他,化粧品,https://www.google.com/maps/search/?api=908&query=秋田市御所野地蔵田1-1-1,,,,
909,フードボートカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-5250,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=909&query=秋田市御所野地蔵田1-1-1,,,,
910,果汁工房　果琳,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-829-3676,3.小売（お土産等）,,https://www.google.com/maps/search/?api=910&query=秋田市御所野地蔵田1-1-1,,,,
911,サンマルクカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6963,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=911&query=秋田市御所野地蔵田1-1-1,,,,
912,紅虎餃子房,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6572,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=912&query=秋田市御所野地蔵田1-1-1,,,,
913,ピアサピド,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-893-5513,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=913&query=秋田市御所野地蔵田1-1-1,,,,
914,カルディコーヒーファーム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6540,21.その他,食品,https://www.google.com/maps/search/?api=914&query=秋田市御所野地蔵田1-1-1,,,,
915,グランブッフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6587,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=915&query=秋田市御所野地蔵田1-1-1,,,,
916,炙り牛たん　万,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-827-3616,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=916&query=秋田市御所野地蔵田1-1-1,,,,
917,しゃぶ菜,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6658,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=917&query=秋田市御所野地蔵田1-1-1,,,,
918,丸啓,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6521,21.その他,宝飾,https://www.google.com/maps/search/?api=918&query=秋田市御所野地蔵田1-1-1,,,,
919,２３区,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-839-5656,21.その他,衣料品店,https://www.google.com/maps/search/?api=919&query=秋田市御所野地蔵田1-1-1,,,,
920,ラフィネ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-838-5288,21.その他,リラクゼーション,https://www.google.com/maps/search/?api=920&query=秋田市御所野地蔵田1-1-1,,,,
921,earth music&ecology,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6552,21.その他,衣料品店,https://www.google.com/maps/search/?api=921&query=秋田市御所野地蔵田1-1-1,,,,
922,アメリカンホリック,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6518,21.その他,衣料品店,https://www.google.com/maps/search/?api=922&query=秋田市御所野地蔵田1-1-1,,,,
923,ユニクロ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6876,21.その他,アパレル,https://www.google.com/maps/search/?api=923&query=秋田市御所野地蔵田1-1-1,,,,
924,スタディオクリップ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6545,21.その他,衣料品店,https://www.google.com/maps/search/?api=924&query=秋田市御所野地蔵田1-1-1,,,,
925,ニコアンド,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-889-6536,21.その他,衣料品店,https://www.google.com/maps/search/?api=925&query=秋田市御所野地蔵田1-1-1,,,,
926,グローバルワーク,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6547,21.その他,衣料品店,https://www.google.com/maps/search/?api=926&query=秋田市御所野地蔵田1-1-1,,,,
927,ジーユー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-8710,21.その他,衣服店,https://www.google.com/maps/search/?api=927&query=秋田市御所野地蔵田1-1-1,,,,
928,ザ　ショップ　ティーケー,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6577,21.その他,衣料品店,https://www.google.com/maps/search/?api=928&query=秋田市御所野地蔵田1-1-1,,,,
929,パリスジュリエット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9010,21.その他,雑貨,https://www.google.com/maps/search/?api=929&query=秋田市御所野地蔵田1-1-1,,,,
930,コパン/ゆう助,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-893-4883,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=930&query=秋田市御所野地蔵田1-1-1,,,,
931,ブリーズ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-893-5600,21.その他,衣料品店,https://www.google.com/maps/search/?api=931&query=秋田市御所野地蔵田1-1-1,,,,
932,プティマイン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6542,21.その他,衣料品店,https://www.google.com/maps/search/?api=932&query=秋田市御所野地蔵田1-1-1,,,,
933,フェイス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-853-0351,21.その他,雑貨,https://www.google.com/maps/search/?api=933&query=秋田市御所野地蔵田1-1-1,,,,
934,ペッパーランチ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-839-2994,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=934&query=秋田市御所野地蔵田1-1-1,,,,
935,島村楽器,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6681,21.その他,楽器,https://www.google.com/maps/search/?api=935&query=秋田市御所野地蔵田1-1-1,,,,
936,ＨＭＶ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-892-6580,21.その他,CD＆DVD販売,https://www.google.com/maps/search/?api=936&query=秋田市御所野地蔵田1-1-1,,,,
937,ペテモ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6899,21.その他,ペット専門店,https://www.google.com/maps/search/?api=937&query=秋田市御所野地蔵田1-1-1,,,,
938,メガネのアイアイ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6653,21.その他,眼鏡,https://www.google.com/maps/search/?api=938&query=秋田市御所野地蔵田1-1-1,,,,
939,ＡＢＣマート,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-8395,21.その他,靴店,https://www.google.com/maps/search/?api=939&query=秋田市御所野地蔵田1-1-1,,,,
940,ＡＢＣマート　アネックス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-839-6203,21.その他,靴店,https://www.google.com/maps/search/?api=940&query=秋田市御所野地蔵田1-1-1,,,,
941,リンガーハット,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-853-5846,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=941&query=秋田市御所野地蔵田1-1-1,,,,
942,ライトオン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,018-889-6898,21.その他,衣料品店,https://www.google.com/maps/search/?api=942&query=秋田市御所野地蔵田1-1-1,,,,
943,エメフィール　,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9736,21.その他,衣料品店,https://www.google.com/maps/search/?api=943&query=秋田市御所野地蔵田1-1-1,,,,
944,ベルーナ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-8701,21.その他,衣料品店,https://www.google.com/maps/search/?api=944&query=秋田市御所野地蔵田1-1-1,,,,
945,未来屋書店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6533,21.その他,書籍,https://www.google.com/maps/search/?api=945&query=秋田市御所野地蔵田1-1-1,,,,
946,ワンズテラス,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-8238,21.その他,雑貨,https://www.google.com/maps/search/?api=946&query=秋田市御所野地蔵田1-1-1,,,,
947,パープルヘブン,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6525,21.その他,雑貨,https://www.google.com/maps/search/?api=947&query=秋田市御所野地蔵田1-1-1,,,,
948,コンタクトのアイシティ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-838-4761,21.その他,コンタクトレンズ,https://www.google.com/maps/search/?api=948&query=秋田市御所野地蔵田1-1-1,,,,
949,チュチュアンナ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-7228,21.その他,衣料品店,https://www.google.com/maps/search/?api=949&query=秋田市御所野地蔵田1-1-1,,,,
950,ＡＳＢｅｅ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6897,21.その他,靴店,https://www.google.com/maps/search/?api=950&query=秋田市御所野地蔵田1-1-1,,,,
951,フェミニンカフェ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6026,21.その他,靴店,https://www.google.com/maps/search/?api=951&query=秋田市御所野地蔵田1-1-1,,,,
952,ＳＡＡＤ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-874-9520,21.その他,雑貨,https://www.google.com/maps/search/?api=952&query=秋田市御所野地蔵田1-1-1,,,,
953,ＢＲＩＣＫ　ＨＯＵＳＥ　ｂｙ　Ｔｏｋｙｏ　Ｓｈｉｒｔｓ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6565,21.その他,衣料品店,https://www.google.com/maps/search/?api=953&query=秋田市御所野地蔵田1-1-1,,,,
954,ｉｋｋａ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6533,21.その他,衣料品店,https://www.google.com/maps/search/?api=954&query=秋田市御所野地蔵田1-1-1,,,,
955,ハイダウェイ　ニコル,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-892-6244,21.その他,衣料品店,https://www.google.com/maps/search/?api=955&query=秋田市御所野地蔵田1-1-1,,,,
956,誉寿司,010-0913,秋田市,保戸野鉄砲町2-21,,018-862-5065,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=956&query=秋田市保戸野鉄砲町2-21,,,,
957,ローソン秋田土崎港西一丁目店,011-0943,秋田市,土崎港西一丁目3-38,,080-5558-9857,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=957&query=秋田市土崎港西一丁目3-38,,,,
958,セブン-イレブン秋田泉北３丁目店,010-0916,秋田市,泉北３丁目3-18,,018-823-5111,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=958&query=秋田市泉北３丁目3-18,,,,
959,こまちタクシー企業組合,011-0906,秋田市,寺内後城22-2,,018-838-5281,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=959&query=秋田市寺内後城22-2,,,,
960,セブンイレブン秋田山王大通り店,010-0951,秋田市,山王二丁目4-30,,018-865-2322,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=960&query=秋田市山王二丁目4-30,,,,
961,JINS 秋田アルス店,010-0001,秋田市,秋田市中通7丁目2-1,JR秋田駅ビルアルス　1F,018-836-5161,21.その他,眼鏡,https://www.google.com/maps/search/?api=961&query=秋田市秋田市中通7丁目2-1,,,,
962,安田タクシー,010-0925,秋田市,旭南３丁目3-51,,018-863-9993,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=962&query=秋田市旭南３丁目3-51,,,,
963,合資会社　加藤本店,010-0001,秋田市,中通四丁目７番35号,,018-832-2940,3.小売（お土産等）,,https://www.google.com/maps/search/?api=963&query=秋田市中通四丁目７番35号,,,,
964,ローソン　秋田土崎港西三丁目店,011-0945,秋田市,土崎港西三丁目1-34,,018-847-1537,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=964&query=秋田市土崎港西三丁目1-34,,,,
965,ビアカフェあくら,010-0921,秋田市,大町一丁目2-40,,018-862-1841,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=965&query=秋田市大町一丁目2-40,,,,
966,レストランプラッツ,010-0921,秋田市,大町一丁目2-40,,018-883-4366,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=966&query=秋田市大町一丁目2-40,,,,
967,いとく新国道店,010-0967,秋田市,高陽幸町14-27,,018-896-1133,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=967&query=秋田市高陽幸町14-27,,,,
968,いとく秋田東店,010-0041,秋田市,広面字家ノ下72-3,,018-884-1109,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=968&query=秋田市広面字家ノ下72-3,,,,
969,いとく土崎みなと店,011-0945,秋田市,土崎港西３丁目2-18,,018-816-0060,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=969&query=秋田市土崎港西３丁目2-18,,,,
970,いとく川尻店,010-0945,秋田市,川尻みよし町18-1,,018-896-0077,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=970&query=秋田市川尻みよし町18-1,,,,
971,いとく自衛隊通店,011-0941,秋田市,土崎港北二丁目17-60,,018-846-6655,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=971&query=秋田市土崎港北二丁目17-60,,,,
972,吾作ラーメン　山王店,010-0923,秋田市,旭北錦町4-52,,018-865-5391,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=972&query=秋田市旭北錦町4-52,,,,
973,吾作ラーメン　広面店,010-0041,秋田市,広面糠塚117-1,,018-837-5391,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=973&query=秋田市広面糠塚117-1,,,,
974,吾作ラーメン　御所野店,010-1413,秋田市,御所野地蔵田2-1-49,,018-838-5391,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=974&query=秋田市御所野地蔵田2-1-49,,,,
975,高尾ハイヤー,010-1421,秋田市,仁井田本町1-1-8,,018-839-2234,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=975&query=秋田市仁井田本町1-1-8,,,,
976,石井スポーツ　秋田店,010-1414,秋田市,御所野元町1-1-15,フレスポ御所野 1階,018-892-7291,21.その他,スポーツ用品,https://www.google.com/maps/search/?api=976&query=秋田市御所野元町1-1-15,,,,
977,キングタクシー本社営業所,010-0923,秋田市,旭北錦町3-46,,018-863-6857,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=977&query=秋田市旭北錦町3-46,,,,
978,秋田港交通,011-0946,秋田市,土崎港中央一丁目15-34,,018-845-1777,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=978&query=秋田市土崎港中央一丁目15-34,,,,
979,ドン・キホーテ秋田店,010-0923,秋田市,旭北錦町4-58,,018-864-3810,3.小売（お土産等）,,https://www.google.com/maps/search/?api=979&query=秋田市旭北錦町4-58,,,,
980,セリオンキッチン,011-0945,秋田市,土崎港西1丁目9-1,,018-857-0033,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=980&query=秋田市土崎港西1丁目9-1,,,,
981,天酔,010-0966,秋田市,高陽青柳町1-38,丸孝ビル1F,018-863-9179,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=981&query=秋田市高陽青柳町1-38,,,,
982,プロント秋田オーパ店,010-0874,秋田市,千秋久保田町4-2,,018-838-6177,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=982&query=秋田市千秋久保田町4-2,,,,
983,プリテールプロント秋田サービスステーション,010-0041,秋田市,広面字谷地沖30-1,,018-831-1500,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=983&query=秋田市広面字谷地沖30-1,,,,
984,タイムステーションＮＥＯ,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-829-3737,21.その他,時計,https://www.google.com/maps/search/?api=984&query=秋田市御所野地蔵田1-1-1,,,,
985,ボーイズルーム,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田2F,018-889-6741,21.その他,衣料品店,https://www.google.com/maps/search/?api=985&query=秋田市御所野地蔵田1-1-1,,,,
986,すき家,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田3F,0120-498-007,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=986&query=秋田市御所野地蔵田1-1-1,,,,
987,ローソン　秋田土崎港南二丁目店,011-0943,秋田市,土崎港南2-5-16,,018-846-7400,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=987&query=秋田市土崎港南2-5-16,,,,
988,マツモトキヨシ　イオンモール秋田店,010-1413,秋田市,御所野地蔵田1-1-1,イオンモール秋田1F,018-826-1140,3.小売（お土産等）,,https://www.google.com/maps/search/?api=988&query=秋田市御所野地蔵田1-1-1,,,,
989,はるやま秋田山手台店,010-1429,秋田市,山手台1-1-9,,018-829-3650,21.その他,衣料品店,https://www.google.com/maps/search/?api=989&query=秋田市山手台1-1-9,,,,
990,ローソン　秋田御所野店,010-1413,秋田市,秋田市御所野地蔵田2-1-5,,018-829-3901,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=990&query=秋田市秋田市御所野地蔵田2-1-5,,,,
991,ローソン　秋田御所野堤台一丁目店,010-1419,秋田市,秋田市御所野堤台1-1-3,,018-839-2031,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=991&query=秋田市秋田市御所野堤台1-1-3,,,,
992,ＥＳＳＥＮＣＥ,010-0874,秋田市,千秋久保田町4-2,秋田ＯＰＡ１階,018-827-6151,21.その他,衣料品小売業,https://www.google.com/maps/search/?api=992&query=秋田市千秋久保田町4-2,,,,
993,南部家敷　御野場店,010-1421,秋田市,仁井田本町5丁目10-16,,018-829-2148,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=993&query=秋田市仁井田本町5丁目10-16,,,,
994,南部家敷　八橋店,010-0977,秋田市,八橋大道東1-3,,018-824-6800,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=994&query=秋田市八橋大道東1-3,,,,
995,南部家敷　茨島店,010-0065,秋田市,茨島4丁目3-17,,018-896-5200,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=995&query=秋田市茨島4丁目3-17,,,,
