No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
28,トヨタレンタカー鹿角店,018-5201,鹿角市,花輪字寺ノ後38-1,,0186-22-0100,12.レンタカー,
29,八幡平後生掛温泉,018-5141,鹿角市,八幡平字熊沢国有林内,,0186-31-2221,21.その他,宿泊施設
30,タケダスポーツ鹿角店,018-5201,鹿角市,花輪字扇ノ間111,,0186-23-3530,21.その他,スポーツ用品
31,しまむら　鹿角店,018-5201,鹿角市,花輪鎌倉平18-1,,0186-30-1150,21.その他,
32,株式会社オカモト　セルフ鹿角,018-5201,鹿角市,花輪字高井田61,,0186-30-0777,21.その他,ガソリンスタンド
33,隠れダイニングぽけっと,018-5334,鹿角市,十和田毛馬内字下寄熊71,,0186-35-3141,2.飲食店（酒類提供あり）,
34,龍門亭　千葉旅館,018-5421,鹿角市,十和田大湯字上の湯1丁目38番地1,,0186-37-2211,21.その他,宿泊施設
35,ラグノオ　ユニバース毛馬内店,018-5334,鹿角市,十和田毛馬内字中陣場101,,0186-35-3922,21.その他,スイーツ
36,ラグノオ　いとく鹿角店,018-5201,鹿角市,花輪字下タ町164-1,,0186-23-5757,21.その他,スイーツ
37,ケーズデンキ　鹿角花輪店,018-5201,鹿角市,花輪字扇ノ間98-1,,0186-22-1460,21.その他,家電量販店
38,有限会社清水商店,018-5201,鹿角市,花輪字下中島113番地,,0186-22-0383,3.小売（お土産等）,
39,秋田八幡平スキー場,018-5141,鹿角市,八幡平字熊沢外8国有林31311林班ホ小班,,0186-31-2020,16.スポーツ,
40,りんごの里　平塚果樹園,018-8421,鹿角市,十和田大湯字箒畑105-1,,0186-37-3997,3.小売（お土産等）,
41,お宿花彩,018-5421,鹿角市,十和田大湯字川原ノ湯29-1,,0186-22-3374,21.その他,宿泊施設
42,秋北バス花輪駅前ステーション,018-5201,鹿角市,花輪字中島142,,0186-23-2538,6.バス,
43,ヤマダデンキ テックランド鹿角店,018-5201,鹿角市,花輪字向畑111番,,0186-25-8211,21.その他,家電
44,ファミリーマート鹿角錦木店,018-5336,鹿角市,十和田錦木字浜田39-2,,0186-30-3001,4.コンビニ・スーパー,
45,ファミリーマート鹿角市役所前店,018-5201,鹿角市,花輪字小深田298,,0186-30-0155,4.コンビニ・スーパー,
46,ローソン　鹿角花輪店,018-5201,鹿角市,花輪字高井田48-2,,0186-30-0055,4.コンビニ・スーパー,
47,道の駅おおゆ　大湯えんがわショップ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,3.小売（お土産等）,
48,道の駅おおゆ　大湯えんがわカフェ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,1.飲食店（酒類提供なし）,
49,サンデー花輪店,018-5201,鹿角市,花輪字蒼前平62番地2,,0186-23-4220,21.その他,ホームセンター
50,株式会社関小市商店,018-5201,鹿角市,花輪字中花輪132,,0186-22-1255,3.小売（お土産等）,
51,いとく花輪店,018-5201,鹿角市,花輪字上中島88,,0186-22-0011,4.コンビニ・スーパー,
52,いとく鹿角ショッピングセンター,018-5201,鹿角市,花輪字下タ町164-1,,0186-30-1166,4.コンビニ・スーパー,
53,いとく鹿角ショッピングセンター　たんぽぽ,018-5201,鹿角市,花輪字下タ町164-1,,0186-30-1166,1.飲食店（酒類提供なし）,
54,Climbing & Cafe　Warehouse UNROCHER,018-5201,鹿角市,花輪字下タ町100,,0186-25-8778,14.体験型アクティビティ,
55,マルホンカウボーイ花輪店,018-5201,鹿角市,花輪字高井田57,,0186-22-0020,4.コンビニ・スーパー,
56,セブン-イレブン　鹿角花輪北店,018-5201,鹿角市,花輪字小坂14-1,,0186-23-2567,4.コンビニ・スーパー,
57,マルホンカウボーイ鹿角店,018-5201,鹿角市,花輪字小深田292,,0186-23-7011,4.コンビニ・スーパー,
58,セブンイレブン鹿角花輪駅前店,018-5201,鹿角市,花輪字堰向70,,0186-23-3970,4.コンビニ・スーパー,
59,クラブタクシー営業所,018-5201,鹿角市,花輪字下花輪144-1,,0186-23-2288,7.ハイヤー・タクシー,
60,観光タクシー営業所,018-5201,鹿角市,花輪字新田町11-63,,0186-23-3030,7.ハイヤー・タクシー,
61,セブンイレブン鹿角八幡平店,018-5201,鹿角市,花輪字高井田44-15,,0186-22-2155,4.コンビニ・スーパー,
62,ファミリーマート　鹿角腰廻店,018-5421,鹿角市,十和田大湯字欠田2-3,,0186-30-4866,4.コンビニ・スーパー,
63,ローソン　鹿角十和田末広店,018-5337,鹿角市,十和田末広字平ノ下37-3,,0186-35-5585,4.コンビニ・スーパー,
64,ファミリーマート鹿角毛馬内店,018-5334,鹿角市,十和田毛馬内字下寄熊35-1,,0186-30-3536,4.コンビニ・スーパー,
65,平和軒,018-5201,鹿角市,花輪字下花輪8-2,,0186-23-2309,1.飲食店（酒類提供なし）,
66,八幡平ビジターセンター,018-5141,鹿角市,八幡平字大沼2,,0186-31-2714,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
67,感動鹿角パークホテル,018-5201,鹿角市,花輪字堰向30-1,,0186-22-1189,21.その他,宿泊施設
68,ローソン　鹿角花輪中央店,018-5201,鹿角市,花輪字寺ノ後13,,0186-23-4141,4.コンビニ・スーパー,
69,花桃,018-5201,鹿角市,花輪字下中島112,茅茹荘ビル1Ｆ,0186-22-1211,2.飲食店（酒類提供あり）,
70,お食事処遊月,018-5511,鹿角郡小坂町,十和田湖字休平36-1,,0176-75-2501,21.その他,宿泊施設
71,（株）工藤米治商店　小坂給油所,017-0201,鹿角郡小坂町,小坂字金窪26-2,,0186-29-3680,21.その他,ガソリンスタンド
72,あかしあ亭,017-0202,鹿角郡小坂町,小坂鉱山古館48-2 （小坂鉱山事務所内）,,0186-29-4247,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
73,十和田湖レークビューホテル,018-5511,鹿角郡小坂町,十和田湖休平65-1,,0176-75-1500,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
74,山乃御振舞とわだこ賑山亭,018-5511,鹿角郡小坂町,十和田湖字休平35,,0176-75-2711,21.その他,宿泊施設
75,湖畔の宿民宿和み,018-5511,鹿角郡小坂町,十和田湖字休平37,,0176-75-2418,21.その他,宿泊施設
76,十和田ホテル,018-5511,鹿角郡小坂町,十和田湖字鉛山無番地,,0176-75-1122,21.その他,宿泊施設
77,ローソン　小坂町店,017-0201,鹿角郡小坂町,小坂字五十刈5-2,,0186-25-8270,4.コンビニ・スーパー,
78,康楽館,017-0202,鹿角郡小坂町,小坂鉱山字松ノ下2,,0186-29-3732,18.劇場、観覧場、映画館、演劇場,
79,レールパーク,017-0202,鹿角郡小坂町,小坂鉱山字古川20-9,,0186-25-8890,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
80,鉱山事務所,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-5522,19.文化施設（美術館､博物館等）,
81,明治百年堂,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-2821,3.小売（お土産等）,
82,豊口タクシー合資会社,017-0202,鹿角郡小坂町,小坂鉱山字栗平21-2,,0186-29-2525,7.ハイヤー・タクシー,
83,（株）サンデー　ホームマート小坂店,017-0201,鹿角郡小坂町,小坂字中前田55番地1,,0186-30-7900,21.その他,ホームセンター
84,マックスバリュ小坂店,017-0202,鹿角郡小坂町,小坂鉱山字栗平25-1,,0186-29-3551,4.コンビニ・スーパー,
85,あきた小坂屋！,017-0201,鹿角郡小坂町,小坂字五十刈1-22,,0186-29-2392,3.小売（お土産等）,
86,ファミリーマート　秋田小坂町店,017-0201,鹿角郡小坂町,小坂字五十刈4-1,,0186-30-7383,4.コンビニ・スーパー,
87,十和田プリンスホテル,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,21.その他,宿泊施設
88,十和田プリンスホテル　フロント,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,21.その他,宿泊施設
89,十和田プリンスホテル　売店,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,3.小売（お土産等）,
90,十和田プリンスホテル　メインダイニングルーム,018-5511,鹿角郡小坂町,十和田湖西湖畔,,0176-75-3117,2.飲食店（酒類提供あり）,
91,十和田湖畔ＳＳ,018-5511,鹿角郡小坂町,十和田湖字休平64-6,,0176-75-2701,21.その他,ガソリンスタンド
92,ローソン　比内町店,018-5701,大館市,比内町扇田字新長岡１７１‐１,,0186-55-0908,4.コンビニ・スーパー,
93,マックハウス大館店,017-0046,大館市,清水5-1,,0186-43-6520,21.その他,衣料品小売業
94,秋田犬の里内　お土産コーナー,017-0044,大館市,御成町1丁目13番1号　,,0186-57-8120,3.小売（お土産等）,
95,きりたんぽ専門店　元祖むらさき,017-0847,大館市,幸町12-9,,0186-42-0741,2.飲食店（酒類提供あり）,
96,タケダスポーツ大館店,017-0887,大館市,水門町5-1,,0186-42-9365,21.その他,スポーツ用品
97,（株）大館工芸社,017-0012,大館市,釈迦内字家後29-15,,0186-48-7700,3.小売（お土産等）,
98,大館矢立ハイツ,017-0001,大館市,長走字陣場311,,0186-51-2311,21.その他,宿泊施設
99,のみくいや重蔵,017-0846,大館市,常盤木町2-42,,0186-43-5959,2.飲食店（酒類提供あり）,
100,佐藤政治書店,018-3505,大館市,早口字上野81-3,,0186-54-2035,21.その他,本屋
101,ホテルルートイン大館大町,017-0841,大館市,大町91-1,,0186-43-6601,21.その他,宿泊施設
102,株式会社あきた六次会,017-0012,大館市,釈迦内字家下9-8,,0186-59-4546,3.小売（お土産等）,
103,（株）工藤米治商店　花岡給油所,017-0005,大館市,花岡町字堤沢67-3,,0186-46-1076,21.その他,ガソリンスタンド
104,（株）工藤米治商店　大館ハチ公給油所,018-5751,大館市,二井田字菖蒲沼208,,0186-42-8500,21.その他,ガソリンスタンド
105,（株）工藤米治商店　セルフ大館南給油所,017-0835,大館市,小館花字萩野台2-3,,0186-49-2455,21.その他,ガソリンスタンド
106,（株）工藤米治商店　大館西給油所,017-0864,大館市,根下戸新町1-60,,0186-42-3149,21.その他,ガソリンスタンド
107,（株）工藤米治商店　大館東給油所,017-0846,大館市,常盤木町11-30,,0186-49-4076,21.その他,ガソリンスタンド
108,産直処　さんのう,017-0804,大館市,柄沢字山王台21-2,,0186-42-2105,3.小売（お土産等）,
109,まつむら商店,017-0043,大館市,有浦3-4-15,,0186-99-0023,2.飲食店（酒類提供あり）,
110,お好み焼き道とん堀大舘店,017-0837,大館市,餌釣字前田1,,0186-49-8500,2.飲食店（酒類提供あり）,
111,トマトアンドオニオン,017-0046,大館市,清水5-1-76,,0186-45-0141,2.飲食店（酒類提供あり）,
112,赤から大舘店,017-0045,大館市,中道1-7-12,,0186-44-6262,2.飲食店（酒類提供あり）,
113,乳井石油商会大舘南給油所,017-0862,大館市,根下戸字下袋家後62-7,,0186-43-3292,21.その他,ガソリンスタンド
114,乳井石油商会スーパーセルフ大館ＳＳ,017-0838,大館市,山館字田尻187,,0186-44-5755,21.その他,ガソリンスタンド
115,乳井石油商会24セルフ比内ＳＳ,017-0839,大館市,中山字兎沢66-1,,0186-43-3055,21.その他,ガソリンスタンド
116,ナガハマコーヒー大館店,017-0041,大館市,大田面19,,0186-59-7778,1.飲食店（酒類提供なし）,
117,薬王堂　大館店,017-0042,大館市,字観音堂420,,0186-42-3388,21.その他,薬局
118,プラザ杉の子,017-0043,大館市,有浦１－７－５５,,0186-49-3288,2.飲食店（酒類提供あり）,
119,ハッピードラック大館片山店,017-0872,大館市,片山町2丁目25-6,,0186-59-7034,21.その他,ドラッグストア
120,ハッピードラック大館比内店,018-5701,大館市,比内町扇田字伊勢堂岱183-1,,0186-59-4719,21.その他,ドラッグストア
121,イエローハット大館店,017-0864,大館市,根下戸新町8-27,,0186-45-1680,21.その他,自動車用品小売業
122,酉や喜兵衛　大館店,017-0844,大館市,新町１５,,0186-49-6439,2.飲食店（酒類提供あり）,
123,魚彦　大館店,017-0895,大館市,字長倉111-2,,0186-43-0046,2.飲食店（酒類提供あり）,
124,たしろ温泉ユップラ,018-3501,大館市,岩瀬字上岩瀬塚の岱43番１号,,0186-54-2626,2.飲食店（酒類提供あり）,
125,ニッポンレンタカー 大館駅前営業所,017-0044,大館市,御成町１－１３－１０,,0186-49-1170,12.レンタカー,
126,駅レンタカー  大館営業所,017-0044,大館市,御成町1-13-10,,0186-57-8255,12.レンタカー,
127,お弁当販売処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,3.小売（お土産等）,
128,お食事処花善,017-0044,大館市,御成町1-10-2,,0186-43-0870,2.飲食店（酒類提供あり）,
129,ツルハドラッグ　大館北店,017-0012,大館市,釈迦内字稲荷山下258,,0186-48-5268,21.その他,薬局
130,ツルハドラッグ　大舘南店,017-0837,大館市,餌釣字前田1,,0186-49-8900,21.その他,薬局
131,ツルハドラッグ　大館中道店,017-0045,大館市,中道2-2-54,,0186-59-5268,21.その他,薬局
132,ツルハドラッグ　大館東店,017-0041,大館市,大田面31,,0186-45-0268,21.その他,薬局
133,ツルハドラッグ　大舘店,017-0872,大館市,片山町3-1-1,,0186-44-5116,21.その他,薬局
134,WASABI,017-0842,大館市,馬喰町11,,0186-49-1839,2.飲食店（酒類提供あり）,
135,ホルモン幸楽大館店,017-0041,大館市,大田面115-1,,0186-43-3811,2.飲食店（酒類提供あり）,
136,トヨタレンタカー大館店,017-0044,大館市,御成町3丁目5-12,,0186-43-0100,12.レンタカー,
137,ふるさわおんせん,017-0032,大館市,字新網27,,0186-48-4295,21.その他,宿泊施設
138,やまや大館樹海ライン店,017-0041,大館市,字大田面373-1,,0186-59-6110,21.その他,酒店
139,やまや大館店,017-0864,大館市,根下戸新町18-84,イオンタウン大館西内,0186-49-7676,21.その他,酒店
140,サンドラッグ大館東台店,017-0803,大館市,東台2-1-5,,0186-44-6200,21.その他,薬局
141,陽気な母さんの店,018-5603,大館市,曲田字家ノ後97-1,,0186-52-3800,21.その他,産地直売所
142,魚民大館有浦店,017-0043,大館市,有浦2-37-2,,0186-42-2588,2.飲食店（酒類提供あり）,
143,ローソン大舘長倉店,017-0895,大館市,長倉112,,0186-49-7559,4.コンビニ・スーパー,
144,バッグコレクションモリタ　大館いとく店,017-0044,大館市,御成町3-7-58　いとく大館SC　2F,,0186-42-3611,21.その他,ファッション
145,オリックスレンタカー大館店,017-0043,大館市,有浦三丁目1-13,,0186-44-4388,12.レンタカー,
146,シャンブル　大館店,017-0872,大館市,片山町3-1-8,,0186-44-6700,21.その他,
147,バースデイ　大館店,017-0041,大館市,大田面40,,0186-44-5323,21.その他,
148,アベイル　大館店,017-0041,大館市,大田面40,,0186-44-4130,21.その他,
149,しまむら　大館店,017-0046,大館市,清水町5-3-1,,0186-45-1262,21.その他,
150,アマリリス　しんこや,017-0846,大館市,常盤木町2-4,,0186-49-1225,3.小売（お土産等）,
151,kyulala大館,017-0041,大館市,大田面238,,0186-44-5562,21.その他,ファッション
152,(有)栗久,017-0843,大館市,字中町38番地,,0186-42-0514,3.小売（お土産等）,
153,オカモトセルフ大館店,017-0043,大館市,有浦1丁目6-18,,0186-44-4610,21.その他,ガソリンスタンド
154,吉野家大館清水店,017-0046,大館市,清水2丁目1-1,,0186-49-8755,2.飲食店（酒類提供あり）,
155,ラグノオ　いとく片山店,017-0872,大館市,片山町2-4-1,,0186-42-7300,21.その他,スイーツ
156,ラグノオ　いとく大舘東店,017-0803,大館市,東台2-1-9,,0186-49-6311,21.その他,スイーツ
157,ラグノオ　いとく大舘ショッピングセンター店,017-0044,大館市,御成町3-7-58,,0186-49-1330,21.その他,スイーツ
158,ケーズデンキ　大館店,017-0046,大館市,清水2-2-70,,0186-43-3311,21.その他,家電量販店
159,ホテルルートイン大館駅南,017-0045,大館市,中道2-1-60,,0186-44-6055,21.その他,宿泊施設
160,柴田慶信商店秋田本店,017-0044,大館市,御成町2丁目15-28,,0186-42-6123,3.小売（お土産等）,
161,柴田慶信商店わっぱビルヂング店,017-0044,大館市,御成町1丁目12-27,,0186-59-7123,3.小売（お土産等）,
162,有限会社日景石油,017-0012,大館市,釈迦内字釈迦内187-3,,0186-48-3505,21.その他,ガソリンスタンド
163,デイリーヤマザキ大館東台店,017-0803,大館市,東台4-2-31,,0186-42-6300,4.コンビニ・スーパー,
164,秋北バス　株式会社,017-8585,大館市,御成町一丁目１１番２５号,,0186-42-3536,6.バス,
165,秋北バス大館営業所,017-0044,大館市,御成町2-17-21,,0186-43-3010,6.バス,
166,NewDays 大館,017-0052,大館市,御成町1-3-1,,0186-45-1580,4.コンビニ・スーパー,
167,とりでん大館店,017-0841,大館市,大町91-1,,0186-49-4194,2.飲食店（酒類提供あり）,
168,ローソン　大館曲田店,018-5603,大館市,曲田字曲田3-1,,0186-52-3534,4.コンビニ・スーパー,
169,ファミリーマート大館清水四丁目店,017-0046,大館市,清水四丁目4-33,,0186-44-4600,4.コンビニ・スーパー,
170,道の駅ひない,018-5701,大館市,比内町扇田字大堤下93-11,,0186-55-1000,2.飲食店（酒類提供あり）,
171,秋北タクシー(株),017-0043,大館市,御成町1-11-25,,0186-42-3533,7.ハイヤー・タクシー,
172,アスビーファム新大館店,017-0041,大館市,大田面238,イオンスーパーセンター大舘店内,0186-44-6525,21.その他,衣料品店
173,（株）サンデー　ホームマート比内店,018-5701,大館市,比内町扇田字長岡下13番地1,,0186-45-4171,21.その他,ホームセンター
174,有限会社つばさ観光,017-0878,大館市,川口字洞バミ45-8,,0186-42-0283,6.バス,
175,焼肉　次今,017-0044,大館市,御成町1－10－4,,0186-42-9229,2.飲食店（酒類提供あり）,
176,イオンスーパーセンター大館店,017-0041,大館市,字大田面238番,,0186-44-6800,4.コンビニ・スーパー,
177,ローソン大館御成町二丁目店,017-0044,大館市,御成町2-179,,0186-43-5088,4.コンビニ・スーパー,
178,ローソン　大館釈迦内南店,017-0012,大館市,釈迦内字稲荷山下280-1,,0186-48-2406,4.コンビニ・スーパー,
179,ローソン　大館川口店,017-0878,大館市,川口字大人沢117-1,,0186-49-0873,4.コンビニ・スーパー,
180,いとく大館ショッピングセンター,017-0044,大館市,御成町３丁目7-58,,0186-49-1717,4.コンビニ・スーパー,
181,いとく比内店,018-5701,大館市,比内町扇田字中扇田41,,0186-55-3311,4.コンビニ・スーパー,
182,いとく片山店,017-0872,大館市,片山町２丁目4-1,,0186-44-8200,4.コンビニ・スーパー,
183,いとく樹海店,017-0041,大館市,字大田面19,,0186-44-5522,4.コンビニ・スーパー,
184,いとく大館東店,017-0803,大館市,東台２丁目1-9,,0186-44-4400,4.コンビニ・スーパー,
185,いとく大館ショッピングセンター　ファミリーレストラントーク,017-0044,大館市,御成町３丁目47-58,,0186-49-1717,1.飲食店（酒類提供なし）,
186,大館カントリークラブ,018-5701,大館市,比内町扇田字横沢128-1,,0186-55-0654,16.スポーツ,
187,ローソン　大館一心院店,017-0825,大館市,字一心院南43-2,,0186-43-5599,4.コンビニ・スーパー,
188,自然食品専門店　健生堂,017-0896,大館市,字大館85-2,,0186-49-4425,21.その他,自然食品専門店
189,ローソン大館二井田店,018-5751,大館市,二井田字陣下114,,0186-43-6642,4.コンビニ・スーパー,
190,マルホンカウボーイ大館店,017-0043,大館市,有浦2丁目3-60,,0186-42-0801,4.コンビニ・スーパー,
191,マルホンカウボーイベル比内店,018-5701,大館市,比内町扇田字伊勢堂岱117,,0186-45-4100,4.コンビニ・スーパー,
192,ザ・ビッグ大館西店,017-0864,大館市,根下戸新町18-83,,0186-49-1001,4.コンビニ・スーパー,
193,ザ・ビッグ釈迦内店,017-0012,大館市,釈迦内字稲荷山下294,,0186-45-2311,4.コンビニ・スーパー,
194,ザ・ビッグ大館南店,017-0837,大館市,餌釣字前田200,,0186-49-8820,4.コンビニ・スーパー,
195,ローソン大館釈迦内店,017-0012,大館市,釈迦内字釈迦内195-4,,0186-48-6646,4.コンビニ・スーパー,
196,ファミリーマート大館片山町3丁目店,017-0872,大館市,片山町3丁目6-2,,0186-44-4070,4.コンビニ・スーパー,
197,ファミリーマート大館常盤木町店,017-0846,大館市,常盤木町１５番１６号,,0186-44-7205,4.コンビニ・スーパー,
198,ファミリーマート大館住吉町店,017-0875,大館市,住吉町3-21,,0186-44-7222,4.コンビニ・スーパー,
199,ココス大館店,017-0872,大館市,片山町3-6-7,,0186-44-5601,2.飲食店（酒類提供あり）,
200,牛角　大館店,017-0841,大館市,大町91-1,,0186-45-1129,2.飲食店（酒類提供あり）,
201,ファミリーマート　秋田大館向町店,017-0828,大館市,字向町16-2,,0186-49-8005,4.コンビニ・スーパー,
202,ローソン　大館東台店,017-0803,大館市,東台5-2-106,,0186-42-4611,4.コンビニ・スーパー,
203,ローソン　大館山館店,017-0838,大館市,山館字大川添８,,0186-43-9936,4.コンビニ・スーパー,
204,ファミリーマート大館大田面店,017-0041,大館市,字大田面388-1,,0186-44-6030,4.コンビニ・スーパー,
205,ファミリーマート大館川口店,017-0877,大館市,立花字屋敷前73,,0186-49-8640,4.コンビニ・スーパー,
206,ファミリーマート秋田大館中山店,017-0839,大館市,中山字兎沢20-6,,0186-44-5188,4.コンビニ・スーパー,
207,ファミリーマート大館ドーム前店,017-0032,大館市,字新綱20,,0186-45-2888,4.コンビニ・スーパー,
208,ヤマダデンキ　テックランド大館店,017-0033,大館市,下網327-1,,0186-44-6400,21.その他,家電
209,日景温泉,017-0001,大館市,長走37,,0186-51-2011,21.その他,宿泊施設
210,薬王堂　大館比内店,018-5701,大館市,比内町扇田字新長岡44番地,,0186-57-8901,21.その他,薬局
211,蔵Cafeレストラン康瓏堂,017-0046,大館市,清水1丁目3-37,,0186-59-8319,1.飲食店（酒類提供なし）,
212,ローソン　大館美園町店,017-0874,大館市,美園町4-1,,0186-59-6400,4.コンビニ・スーパー,
213,四季美館　前田商業会売店,018-4515,北秋田市,阿仁前田字大道上３番地１,,0186-75-3570,3.小売（お土産等）,
214,マックハウスイオンタウンたかのすＳＣ,018-3302,北秋田市,中綱31-1イオンタウンたかのすSC,,0186-62-5455,21.その他,衣料品小売業
215,酒のマルジュウ,018-3324,北秋田市,大町5-31,,0186-63-0028,21.その他,酒屋
216,里山レストラン＆カフェ「こぐま亭」,018-4613,北秋田市,阿仁銀山字下新町119,,0186-82-3666,1.飲食店（酒類提供なし）,
217,秋田内陸線鷹巣駅,018-3321,北秋田市,松葉町3-2,,0186-60-0643,5.鉄道,
218,秋田内陸線阿仁合駅観光案内窓口,018-4613,北秋田市,阿仁銀山字下新町119,,0186-82-3666,3.小売（お土産等）,
219,晩梅,018-3322,北秋田市,住吉町8-1,,0186-62-1066,3.小売（お土産等）,
220,薬王堂　北秋田鷹巣店,018-3331,北秋田市,鷹巣字西中岱46番1,,0186-67-6057,21.その他,薬局
221,ハッピードラック北秋田鷹巣店,018-3323,北秋田市,米代町5-14,,0186-69-7766,21.その他,ドラッグストア
222,ホテルフッシュ,018-4624,北秋田市,阿仁鍵ノ滝字鍵ノ滝206,,0186-82-3155,21.その他,宿泊施設
223,佐金酒店,018-3316,北秋田市,東横町12-1,,0186-62-1032,3.小売（お土産等）,
224,森吉山荘売店,018-4511,北秋田市,森吉字湯ノ岱14-1,,0186-76-2334,2.飲食店（酒類提供あり）,
225,森吉山荘レストラン白糸の滝,018-4511,北秋田市,森吉湯ノ岱14-1,,0186-76-2334,2.飲食店（酒類提供あり）,
226,妖精の森観光きのこ園,018-4511,北秋田市,森吉森吉高原,,0186-76-2107,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,
227,太平湖遊覧船売店,018-4511,北秋田市,森吉砂子沢固有林,第1052輪班内,0186-76-2334,3.小売（お土産等）,
228,太平湖遊覧船,018-4511,北秋田市,森吉砂子沢固有林,第1052輪班内,0186-76-2334,8.海上運送,
229,ニッポンレンタカー 大館能代空港営業所,018-3454,北秋田市,脇神字からむしだい２１－１４４,,0186-63-2956,12.レンタカー,
230,ニッポンレンタカー 鷹巣営業所,018-3302,北秋田市,栄字中綱８９－１,,0186-60-0022,12.レンタカー,
231,ツルハドラッグ　米内沢店,018-4301,北秋田市,米内沢字柳原4-4,,0186-72-9268,21.その他,薬局
232,ツルハドラッグ　鷹巣店,018-3302,北秋田市,栄中綱2,,0186-60-0028,21.その他,薬局
