市町村,旅 行 会 社 名,住　　　　所,電 話 番 号,登録日
大館市,ホテルルートイン大館駅南,大館市中道2-1-60,0186-44-6055,4月1日
大館市,白神矢立　湯源郷の宿　日景温泉,大館市長走37,0186-51-2011,4月1日
大館市,大館矢立ハイツ,大館市長走字陣場311,0186-51-2311,4月1日
北秋田市,千草,北秋田市阿仁銀山字下新町125,0186-82-3119,4月1日
北秋田市,阿仁の森ぶなホテル,北秋田市阿仁鍵の滝206,0186-82-2400,4月1日
北秋田市,ホテル フッシュ,北秋田市阿仁鍵ノ滝字鍵ノ滝206,0186-82-3155,4月12日
北秋田市,打当温泉マタギの湯,北秋田市阿仁打当字仙北渡道上ミ67,0186-84-2612,4月1日
北秋田市,旅館　菅原館,北秋田市旭町4-13,0186-62-0167,4月1日
北秋田市,丸留旅館,北秋田市元町11-32,0186-62-2034,4月1日
北秋田市,リバーサイド民宿丸慶,北秋田市根森田字家ノ下52-1,0186-75-2300,4月1日
北秋田市,ビジネスホテル八木,北秋田市材木町1-20,0186-62-1026,4月1日
北秋田市,ホテルニュー松尾,北秋田市住吉町11-7,0186-63-2311,4月1日
北秋田市,クウィンス森吉,北秋田市小又字堂ノ下21-2,0186-60-7000,4月22日
北秋田市,北欧の杜公園オートキャンプ場,北秋田市上杉字中山沢128,0186-78-3300,4月1日
北秋田市,奥の湯　森吉山荘,北秋田市森吉字湯ノ岱14-1,0186-76-2334,4月22日
北秋田市,杣温泉旅館,北秋田市森吉字湯ノ岱川向湯ノ沢7,0186-76-2311,4月5日
北秋田市,妖精の森コテージラウル,北秋田市森吉森吉高原内,0186-76-2107,4月1日
北秋田市,ＳＨＡＲＥ　ＨＯＳＴＥＬ　庭のとまり,北秋田市米内沢字長野岱378,0186-67-6295,4月12日
北秋田市,あゆっこ,北秋田市米内沢字柳原39-1,0186-72-3265,6月1日
北秋田市,伊勢堂岱温泉　縄文の湯,北秋田市脇神字平崎川戸沼86-2,0186-63-2626,4月1日
能代市,民宿ひまわり,能代市字下悪戸120-6,0185-74-7717,4月1日
能代市,ホテルミナミ,能代市寿城長根55-25,0185-55-2255,4月1日
能代市,ホテルルートイン能代,能代市西大瀬17-1,0185-89-1003,4月1日
能代市,ホテルニューグリーン能代,能代市青葉町3-5,0185-54-3511,4月1日
能代市,船沢温泉,能代市浅内字船沢73-125,0185-74-5741,4月1日
能代市,きみまち阪　壱ノ座,能代市二ツ井町小繋字泉20,0185-73-3925,4月1日
能代市,川どこ　べらぼう,能代市能代町字赤沼48-21,0185-53-3040,4月1日
能代市,能代タウンホテルミナミ,能代市畠町9-28,0185-55-2256,4月1日
能代市,湯らくの宿のしろ,能代市落合字亀谷地1-11,0185-54-2121,4月1日
藤里町,藤里町立　農村環境改善センター,藤里町藤琴字下湯の沢16,0185-79-1379,4月1日
藤里町,ホテルゆとりあ藤里,藤里町藤琴字上湯ノ沢1-2,0185-79-1070,4月1日
藤里町,農家民宿　のっこの家,藤里町粕毛字春日野102-1,0185-74-6102,6月4日
藤里町,農家民宿　さんこの宿,藤里町粕毛字春日野110-3,0185-74-6102,6月4日
藤里町,農家民宿　ブナの森,藤里町粕毛字春日野129-1,0185-74-6102,4月16日
藤里町,農家民宿　陶,藤里町粕毛字春日野43-2,0185-74-6102,4月1日
藤里町,農家民宿　和らぎ荘,藤里町粕毛字春日野64,0185-74-6102,6月4日
三種町,農家民宿　しばたん家,三種町鹿渡字町後419-2,0185-87-2781,4月1日
三種町,森岳温泉ホテル,三種町森岳字木戸沢115-27,0185-83-5522,4月1日
三種町,ホテル森山館,三種町森岳字木戸沢115-72,0185-83-3300,4月1日
三種町,砂丘温泉ゆめろん,三種町大口字上の沢17-4,0185-85-4126,4月1日
八峰町,三四郎旅館,八峰町八森岩館21-1,0185-78-2413,4月1日
八峰町,あきた白神温泉ホテル,八峰町八森字磯村100,0185-77-2233,4月1日
八峰町,民宿　いがわ,八峰町八森字岩館塚の台27-11,0185-78-2206,6月8日
八峰町,八森いさりび温泉　ハタハタ館,八峰町八森字御所の台51,0185-77-2770,4月1日
八峰町,ポンポコ山公園バンガロー村,八峰町峰浜沼田字ホンコ谷地57-2,0185-76-3322,4月1日
八峰町,農家民宿　花みずき,八峰町峰浜内荒巻字家ノ上41,0185-76-3778,4月1日
男鹿市,民宿　三浦荘,男鹿市戸賀塩浜字漁元崎90-2,0185-37-2518,4月1日
男鹿市,海と入り陽の宿　帝水,男鹿市戸賀塩浜字壺ヶ沢31,0185-37-2331,4月5日
男鹿市,男鹿リゾート　HOTELきららか,男鹿市戸賀加茂青砂字中合1-466,0185-47-7220,4月1日
男鹿市,ホテル男鹿の屋,男鹿市船越字八郎谷地2-2,0185-22-6311,4月14日
男鹿市,海と絶景の宿　旅館浜彩,男鹿市船川港双六字打越144-1,0185-27-2733,4月1日
男鹿市,ゲストハウス男鹿,男鹿市船川港増川字小泊105-2,080-9633-0083,4月5日
男鹿市,汐瀬旅館,男鹿市船川港本山門前字垂水197,0185-27-2711,4月1日
男鹿市,農家民宿　里山のカフェ　ににぎ,男鹿市北浦真山字塞ノ神下14,0185-27-8422,4月1日
男鹿市,男鹿ホテル,男鹿市北浦湯本字草木原13-1,0185-33-3101,4月1日
男鹿市,男鹿観光ホテル,男鹿市北浦湯本字草木原21,0185-33-2121,4月1日
男鹿市,セイコーグランドホテル,男鹿市北浦湯本字草木原50-1,0185-33-2131,4月1日
男鹿市,元湯 雄山閣,男鹿市北浦湯本字草木原52,0185-33-3121,4月1日
男鹿市,男鹿萬盛閣,男鹿市北浦湯本字草木原63-2,0185-33-3161,4月1日
男鹿市,男鹿温泉結いの宿　別邸つばき,男鹿市北浦湯本字中里81,0185-33-2151,4月1日
男鹿市,温泉旅館ゆもと,男鹿市北浦湯本字福の沢36,0185-33-3151,4月1日
男鹿市,民宿　亀屋旅館（亀寿司食堂）,男鹿市北浦北浦字栄町4-3,0185-33-2049,4月1日
潟上市,果夢園,潟上市昭和大久保字北野藤曲小道添74-3,090-2025-2192,4月1日
潟上市,食彩の宿　北限亭,潟上市天王字棒沼台299-2,018-838-0823,4月1日
五城目町,グリーンロイヤル丸富,五城目町字下タ町248-1,018-852-2140,4月1日
五城目町,ちよだ五城目交流館,五城目町字下夕町190,090-1619-2114,4月5日
五城目町,小倉温泉旅館,五城目町富津内下山内字猿田沢24,018-852-2440,4月1日
五城目町,赤倉山荘,五城目町富津内中津又滑多羅3-7,018-854-2969,4月1日
大潟村,ホテルサンルーラル大潟,大潟村字北1-3,0185-45-3311,4月1日
秋田市,ホテルアルファイン秋田,秋田市旭北栄町1-48,018-866-3355,4月1日
秋田市,岩崎旅館,秋田市茨島2-5-9,018-864-8481,4月1日
秋田市,天然温泉ホテルこまち,秋田市卸町1丁目2-3,018-865-0001,4月1日
秋田市,プラザクリプトン,秋田市河辺戸島字上祭沢38-4秋田県森林学習交流館,018-882-4811,4月5日
秋田市,秋田県健康増進交流センター　ユフォーレ,秋田市河辺三内字丸舞1-1,018-884-2111,4月1日
秋田市,外山旅館,秋田市河辺和田字北条ヶ崎59-57,018-882-3535,4月1日
秋田市,ホテル秋田御所野,秋田市御所野堤台1丁目3-1,018-853-8660,4月1日
秋田市,アキタパークホテル,秋田市山王4-5-10,018-862-1515,4月2日
秋田市,ホテル臨海,秋田市山王中園町6-8,018-862-1635,4月12日
秋田市,工藤旅館,秋田市新屋扇町3-22,018-828-4706,4月1日
秋田市,三ツ星館,秋田市新屋朝日町4-3,018-862-8853,4月1日
秋田市,秋田市森林学習館　木こりの宿,秋田市仁別字マンタラメ210,018-827-2111,4月26日
秋田市,トレーラーハウス,秋田市仁別字小水沢134,018-827-2270,4月26日
秋田市,コンフォートホテル秋田,秋田市千秋久保田町3-23,018-825-5611,4月1日
秋田市,ホテルパールシティ秋田竿燈大通り,秋田市大町2-2-3,018-862-0501,4月1日
秋田市,ダイワロイネットホテル秋田,秋田市大町2-2-41,018-883-0500,4月1日
秋田市,協働大町ビル　おおまち荘,秋田市大町3-2-44,018-863-2111,4月2日
秋田市,ホテルパールシティ秋田川反,秋田市大町3丁目4-18,018-865-2111,4月1日
秋田市,アルバートホテル秋田,秋田市大町4-3-22,018-888-3333,4月1日
秋田市,貝の沢温泉,秋田市大平山谷長坂66-96,018-838-3838,4月5日
秋田市,秋田キャッスルホテル,秋田市中通1-3-5,018-834-1141,4月1日
秋田市,中通温泉こまちの湯　ドーミーイン秋田,秋田市中通2-3-1,018-835-6777,4月2日
秋田市,秋田ホテル（4/30より「秋田ビューホテル」から名称変更）,秋田市中通2-6-1,018-832-1111,4月1日
秋田市,リッチモンドホテル秋田駅前（6/15～9/30休業）,秋田市中通2丁目2-26,018-884-0055,4月1日
秋田市,ホテル・アルファーワン秋田,秋田市中通4-16-2,018-836-5800,4月1日
秋田市,ルートイングランティア秋田SPA RESORT（秋田天然温泉華のゆ）,秋田市中通5-2-1,018-825-5411,4月1日
秋田市,ホテル　なにわ,秋田市中通6丁目18-27,018-832-4570,4月1日
秋田市,ホテルメトロポリタン秋田,秋田市中通7丁目2-1,018-831-2222,4月1日
秋田市,秋田温泉さとみ,秋田市添川字境内川原142-1,018-833-7171,4月1日
秋田市,秋田温泉プラザ,秋田市添川字境内川原142-3,018-833-1919,4月1日
秋田市,ホテルルートイン秋田土崎,秋田市土崎港西2丁目12-30,018-880-2320,4月1日
秋田市,東横イン秋田駅東口,秋田市東通仲町4-1,018-889-1045,4月2日
秋田市,ユーランドホテル八橋,秋田市八橋イサノ2-16-29,018-863-7811,4月1日
秋田市,大内旅館,秋田市八橋本町6-1-10,018-823-5667,4月13日
秋田市,秋田市雄和コテージ,秋田市雄和神ヶ村窪24,018-887-2575,4月1日
秋田市,ふるさと温泉ユアシス,秋田市雄和神ヶ村字舟卸145-2,018-887-2575,4月1日
由利本荘市,ホテルルートイン由利本荘,由利本荘市井戸尻50,0184-28-0001,4月1日
由利本荘市,本荘ステーションホテル,由利本荘市花畑町1-30,0184-23-3611,4月1日
由利本荘市,は～とぽ～と大内　ぽぽろっこ,由利本荘市岩谷町字西越36,0184-62-1126,4月1日
由利本荘市,本荘グランドホテル,由利本荘市岩渕下254,0184-23-4511,4月1日
由利本荘市,ホテルアイリス,由利本荘市肴町5,0184-24-5115,4月1日
由利本荘市,ペンション　駒の王子,由利本荘市西沢字南由利原427-7,0184-53-3110,4月1日
由利本荘市,にしめ湯っ娘ランド,由利本荘市西目町沼田字新道下1112-1,0184-33-4422,4月1日
由利本荘市,安楽温泉,由利本荘市大堤下4,0184-22-0637,4月2日
由利本荘市,ホテルフォレスタ鳥海,由利本荘市鳥海町猿倉字奥山前8-45,0184-58-2888,4月1日
由利本荘市,猿倉温泉　鳥海荘,由利本荘市鳥海町猿倉字湯ノ沢103-1,0184-58-2065,4月2日
にかほ市,にかほ市温泉保養センターはまなす,にかほ市金浦字中谷地20-1,0184-38-2246,4月1日
にかほ市,いちゑ,にかほ市三森字大苗代190,0184-37-2000,4月1日
にかほ市,ホテル　シティパレス,にかほ市象潟町字4丁目塩越201,0184-43-5111,4月5日
にかほ市,山形屋旅館,にかほ市象潟町字家ノ後33,0184-43-3066,4月12日
にかほ市,象潟モンゴルヴィレッジバイガル,にかほ市象潟町字冠石下63-3,0184-32-5555,5月6日
にかほ市,たつみ寛洋ホテル,にかほ市象潟町字後田116-5,0184-32-5555,4月1日
にかほ市,ホテル＆コテージ　潮さい,にかほ市象潟町字荒屋下28,0184-43-3135,4月1日
にかほ市,象潟夕日の宿　さんねむ温泉,にかほ市象潟町字才ノ神31-1,0184-43-4960,4月1日
にかほ市,しなの旅館,にかほ市象潟町字武道島180-1,0184-43-5815,4月5日
にかほ市,松本旅館,にかほ市象潟町小砂川字小田13-42,0184-46-2005,4月8日
にかほ市,旅館　清水屋,にかほ市象潟町小砂川字清水場148-2,0184-46-2002,4月1日
にかほ市,白滝旅館,にかほ市象潟町小滝字北田31,0184-44-2513,4月1日
にかほ市,金浦温泉　学校の栖,にかほ市大竹字硫黄谷地31-2,0184-38-3883,4月2日
にかほ市,佐藤旅館,にかほ市平沢字清水112,0184-35-2357,4月1日
にかほ市,ホテルエクセルキクスイ,にかほ市平沢字町田108-1,0184-37-3333,4月1日
大仙市,西仙北ぬく森温泉ユメリア,大仙市刈和野字山北ノ沢5-4,0187-87-3100,4月1日
大仙市,協和温泉　四季の湯,大仙市協和船岡字庄内214,018-893-2615,4月2日
大仙市,協和温泉　四郎兵エ館,大仙市協和船岡字中庄内道ノ下39,018-893-2760,4月1日
大仙市,からまつ山荘　東兵衛温泉,大仙市協和船岡字東兵衛屋敷91,018-893-2211,4月1日
大仙市,強首温泉　 樅峰苑　,大仙市強首字強首268,0187-77-2116,4月1日
大仙市,かみおか温泉　嶽の湯,大仙市神宮寺字下川原前開86-1,0187-87-1700,4月1日
大仙市,ヤギヤカタ,大仙市神宮寺字福島34,0187-87-1266,6月1日
大仙市,Hanabnb大曲神宮寺,大仙市神宮寺字坊ヶ沢堂ノ後8-18,080-5955-9325,5月12日
大仙市,モリボの里　奥羽山荘,大仙市太田町太田字惣行大谷地10-5,0187-88-1717,4月1日
大仙市,中里温泉,大仙市太田町中里字新屋敷114,0187-88-1471,5月1日
大仙市,フォレストリゾート　山の手ホテル,大仙市大曲西根字仁応治67-3,0187-68-2001,4月1日
大仙市,リバーサイドホテル大曲,大仙市大曲中通町2-20,0187-62-0115,4月2日
大仙市,OYO Ryokan ホテル富士,大仙市大曲通町1-28,0187-62-0243,4月1日
大仙市,ホテルルートイン大曲駅前,大仙市大曲通町3-14,0187-86-3511,4月1日
大仙市,大曲エンパイヤホテル,大仙市大曲白金町8-17,0187-63-1131,4月1日
大仙市,大原旅館,大仙市大曲白金町9-19,0187-63-2640,4月1日
大仙市,福寿旅館,大仙市朝日町17-7,0187-63-1549,4月1日
大仙市,グリーンホテル大曲,大仙市朝日町18-1,0187-86-3333,4月1日
大仙市,岩倉ホテル,大仙市南外字湯元1,0187-74-2345,4月2日
大仙市,史跡の里交流プラザ 柵の湯,大仙市板見内一ツ森１４９,0187-69-3311,5月1日
仙北市,雲沢旅館,仙北市角館町雲然山口66-12,0187-55-1510,5月17日
仙北市,かくのだて温泉　町宿　ねこの鈴,仙北市角館町下中町28,0187-52-2222,4月5日
仙北市,町家ホテル　角館,仙北市角館町七日町1-1,0187-55-2001,4月1日
仙北市,御宿　ねずねこ,仙北市角館町小人町38-28,090-4557-0555,4月9日
仙北市,Kakunodate　guest　house　choux,仙北市角館町上菅沢258-1,0187-42-8421,4月20日
仙北市,角館温泉花葉館,仙北市角館町西長野古米沢30-19,0187-55-5888,4月2日
仙北市,ファームinn緑の風,仙北市角館町西長野川下田368,0187-55-2206,4月1日
仙北市,ホテルフォルクローロ角館,仙北市角館町中菅沢14,0187-53-2070,4月1日
仙北市,田町武家屋敷ホテル,仙北市角館町田町下丁23,0187-55-2266,4月1日
仙北市,和のゐ　角館,仙北市角館町田町上丁11-1,0187-53-2774,4月1日
仙北市,かたまえ山森林公園,仙北市西木町西明寺字潟尻117,0187-47-2007,4月2日
仙北市,田沢湖ローズパークホテル,仙北市西木町西明寺字潟尻78,0187-47-2211,4月2日
仙北市,農家の宿　星雪館,仙北市西木町桧木内字大台野開404,0187-48-2914,4月2日
仙北市,西木温泉ふれあいプラザクリオン,仙北市西木町門屋字屋敷田83-2,0187-47-2010,4月2日
仙北市,角館山荘　侘桜,仙北市西木町門屋字笹山2-8,0187-47-3511,4月5日
仙北市,南玉川温泉　湯宿　はなやの森,仙北市田沢湖玉川328,0187-49-2700,4月6日
仙北市,新玉川温泉,仙北市田沢湖玉川字渋黒沢2番地先,0187-58-3100,4月1日
仙北市,玉川温泉,仙北市田沢湖玉川字渋黒沢国有林3014林班口小班,0187-58-3000,4月1日
仙北市,休暇村乳頭温泉郷,仙北市田沢湖駒ケ岳2-1,0187-46-2244,4月1日
仙北市,一般社団法人　秋田県建設業協会　玉川保養所,仙北市田沢湖字渋黒沢1-1,0187-58-3021,4月2日
仙北市,湯の花館,仙北市田沢湖生保内字下高野59-35,0187-58-1066,5月11日
仙北市,ヒュッテ　ビルケ,仙北市田沢湖生保内字下高野72,0187-46-2833,4月1日
仙北市,ロッジ山の詩,仙北市田沢湖生保内字下高野72-19,0187-46-2226,4月1日
仙北市,ペンション白い星,仙北市田沢湖生保内字下高野72-25,0187-46-2525,4月1日
仙北市,どんぐり山荘,仙北市田沢湖生保内字下高野72-30,0187-46-2446,4月1日
仙北市,元湯　水沢山荘,仙北市田沢湖生保内字下高野73-10,0187-46-2341,4月1日
仙北市,田沢湖高原リゾートホテルニュースカイ,仙北市田沢湖生保内字下高野73-13,0187-46-2006,4月1日
仙北市,心に和みが灯る宿　青荷山荘,仙北市田沢湖生保内字下高野73-14,0187-46-2256,4月1日
仙北市,露天風呂　水沢温泉,仙北市田沢湖生保内字下高野73-15,0187-46-2111,4月1日
仙北市,ホテルラディッシュハウス,仙北市田沢湖生保内字下高野73-18,0187-49-8191,4月1日
仙北市,フォレスト倶楽部　田園,仙北市田沢湖生保内字下高野73-21,0187-46-2631,4月5日
仙北市,ペンション　クライマー,仙北市田沢湖生保内字下高野73-22,0187-46-2711,6月17日
仙北市,ロッヂヨーデル,仙北市田沢湖生保内字下高野73-7,0187-46-2807,4月1日
仙北市,秋田県立田沢湖スポーツセンター,仙北市田沢湖生保内字下高野73-75,0187-46-2001,4月5日
仙北市,天然温泉田沢湖レイクリゾート,仙北市田沢湖生保内字下高野82-117,0187-46-2016,4月1日
仙北市,山荘イーグル,仙北市田沢湖生保内字下髙野72-28,0187-46-2788,4月5日
仙北市,田沢高原ホテル,仙北市田沢湖生保内字駒ヶ岳2,0187-46-2311,4月1日
仙北市,乳頭温泉郷　妙乃湯,仙北市田沢湖生保内字駒ケ岳2-1,0187-46-2740,4月1日
仙北市,ロッジアイリス,仙北市田沢湖生保内字駒ケ岳2-139,0187-58-1101,4月2日
仙北市,ホテルグランド天空,仙北市田沢湖生保内字駒ケ岳2-16,0187-46-2004,4月1日
仙北市,駒ヶ岳グランドホテル,仙北市田沢湖生保内字駒ヶ岳2-30,0187-46-2212,4月1日
仙北市,プラザホテル山麓荘,仙北市田沢湖生保内字駒ケ岳2-32,0187-46-2131,4月1日
仙北市,田沢プラトーホテル,仙北市田沢湖生保内字駒ケ岳2-36,0187-46-2331,4月1日
仙北市,民宿はるかぜ,仙北市田沢湖生保内字駒ケ岳2-68,0187-46-2880,4月2日
仙北市,駒ヶ岳温泉,仙北市田沢湖生保内字高野80-68,0187-46-2688,4月1日
仙北市,黒湯温泉,仙北市田沢湖生保内字黒湯沢2-1,0187-46-2214,4月1日
仙北市,森湖休（しんこきゅう）,仙北市田沢湖生保内男坂61-10,0187-43-2333,4月1日
仙北市,夏瀬温泉　都わすれ,仙北市田沢湖卒田字夏瀬84,0187-44-2220,4月1日
仙北市,自然農の宿　豆太,仙北市田沢湖卒田字黒倉262-3,090-4882-2490,4月1日
仙北市,温泉ゆぽぽ,仙北市田沢湖卒田字早稲田430,0187-44-3333,4月1日
仙北市,cafe+inn That Sounds Good!（サウンズグッド！）,仙北市田沢湖田沢字潟前160-58,0187-43-0127,4月1日
仙北市,ホテル湖心亭,仙北市田沢湖田沢字春山135,0187-43-0721,4月1日
仙北市,花心亭しらはま,仙北市田沢湖田沢字春山145-15,0187-43-0436,4月1日
仙北市,田沢湖キャンプ場,仙北市田沢湖田沢字春山152,0187-43-2990,4月2日
仙北市,湖畔浪漫の宿かたくりの花,仙北市田沢湖田沢字春山197-15,0187-43-1200,4月1日
仙北市,民宿　はるやま,仙北市田沢湖田沢字春山3-1,0187-43-2301,4月5日
仙北市,蟹場温泉,仙北市田沢湖田沢字先達沢50,0187-46-2021,4月1日
仙北市,鶴の湯温泉,仙北市田沢湖田沢字先達沢国有林50,0187-46-2139,4月1日
仙北市,大釜温泉,仙北市田沢湖田沢字先達沢国有林50林班,0187-46-2438,4月2日
仙北市,孫六温泉,仙北市田沢湖田沢字先達沢国有林51,0187-46-2224,4月5日
仙北市,鶴の湯別館山の宿,仙北市田沢湖田沢字先達沢湯の岱1-1,0187-46-2100,4月1日
美郷町,千畑温泉サン・アール,美郷町金沢東根字仏沢210-1,0187-84-3983,4月1日
美郷町,美郷町宿泊交流館ワクアス,美郷町飯詰字下鶴田22-1,0187-88-8870,4月1日
美郷町,六郷温泉あったか山,美郷町六郷東根字下馬転120,0187-84-2641,4月1日
横手市,クォードインyokote,横手市安田字堰端52-1,0182-36-5211,4月1日
横手市,横手ステーションホテル,横手市駅前町6-44,0182-36-2277,4月5日
横手市,横手プラザホテル,横手市駅前町7-1,0182-33-2111,4月1日
横手市,ホテルプラザアネックス横手,横手市駅前町7-7,0182-32-7777,4月1日
横手市,横手温泉　ホテルプラザ迎賓,横手市駅前町7-7,0182-32-7777,4月1日
横手市,南郷(夢)温泉 共林荘,横手市山内南郷字大払川139-1,0182-53-2800,4月1日
横手市,Hostel＆Bar CAMOSIBA,横手市十文字町曙町7-3,0182-23-5336,4月1日
横手市,丸福旅館,横手市十文字町通町3,0182-42-0139,4月1日
横手市,ル・カフェ・プランタニエ,横手市十文字町通町3-7,0182-42-0431,5月19日
横手市,横手市農山村体験学習交流施設「釣りキチ三平の里」体験学習館,横手市増田町狙半内字七曲下101,0182-45-9020,4月1日
横手市,ビジネス旅館　ますだ,横手市増田町増田字伊勢堂18-1,0182-45-5171,5月26日
横手市,笹原家　宝蔵庵,横手市増田町増田字上町70,0182-45-3377,4月1日
横手市,休養センター　さくら荘,横手市大森町字持向165,0182-26-2301,4月1日
横手市,尾張屋旅館,横手市鍛冶町3-33,0182-32-3250,4月1日
横手市,ホテルルートイン横手インター,横手市婦気大堤字田久保下117,0182-35-8311,4月1日
横手市,横手市平鹿ときめき交流センターゆっぷる,横手市平鹿町醍醐字沢口166,0182-25-3801,4月1日
横手市,横手セントラルホテル,横手市平和町9-10,0182-33-1551,4月1日
横手市,おものがわ温泉雄川荘,横手市雄物川町今宿字郷72-1,0182-38-6530,4月1日
湯沢市,湯ノ沢温泉　日勝館,湯沢市下院内字湯ノ沢山湯ノ沢国有林地内,0183-52-4129,4月2日
湯沢市,小安山荘民宿よし川,湯沢市皆瀬字小安奥山国有林2,0183-47-5253,4月1日
湯沢市,奥小安峡大湯温泉阿部旅館,湯沢市皆瀬字小安奥山国有林34,0183-47-5102,4月1日
湯沢市,小安峡温泉のお宿　秋仙,湯沢市皆瀬字小湯ノ上20-5,0183-47-5800,4月1日
湯沢市,やどや三平,湯沢市皆瀬字小湯ノ上24-3,0183-47-5440,4月1日
湯沢市,おやど鶴峯館,湯沢市皆瀬字小湯ノ上3-14,0183-47-5335,4月6日
湯沢市,小安峡の宿　こまくさ,湯沢市皆瀬字小湯ノ上47-1,0183-47-5181,4月1日
湯沢市,民宿　上の湯,湯沢市皆瀬字小湯ノ上48,0183-47-5073,4月1日
湯沢市,山の民宿　鳳,湯沢市皆瀬字小湯ノ上5-12,0183-47-5209,4月1日
湯沢市,とことん山キャンプ場　交流センター,湯沢市皆瀬字新処92-10,0183-47-5241,6月21日
湯沢市,小安峡温泉　湯の宿　元湯くらぶ,湯沢市皆瀬字湯元100-1,0183-47-5151,4月1日
湯沢市,旅館　多郎兵衛,湯沢市皆瀬字湯元121-5,0183-47-5016,4月1日
湯沢市,小安峡温泉　お宿　山の抄,湯沢市皆瀬字湯元185-1,0183-47-5550,6月1日
湯沢市,ホテル松葉館,湯沢市皆瀬字湯元50-1,0183-47-5019,4月2日
湯沢市,とことん山キャンプ場,湯沢市皆瀬新処１０６,0183-47-5241,4月13日
湯沢市,草木ももとせ,湯沢市岩崎字岩崎83,0183-55-8839,4月1日
