22,中国料理 幸楽,018-0604,由利本荘市,?目町沼田字新道下2-637,,0184-33-2333,2.飲食店(酒類提供あり),
23,角館桜皮細工センター(武家屋敷通り店),014-0331,仙北市,角館町表町下丁18,,0187-55-5631,3.小売(お土産等),
24,角館桜皮細工センター,014-0318,仙北市,角館町中町25,,0187-55-1320,3.小売(お土産等),
25,秋田犬の里内 お土産コーナー,017-0044,大館市,御成町1丁目13番1号,,0186-57-8120,3.小売(お土産等),
26,あきた茶房,010-1211,秋田市,雄和椿川字山籠49,,018-886-3771,2.飲食店(酒類提供あり),
27,唐橋茶屋,010-0001,秋田市,中通4丁目16-2,,018-834-8841,2.飲食店(酒類提供あり),
28,日本一秋田トピコ店,010-0001,秋田市,中通7-1-2,,018-884-0021,3.小売(お土産等),
29,石川酒店JR秋田駅ビルトピコ店,010-0001,秋田市,中通七丁目1番2号,,018-833-9920,3.小売(お土産等),
30,セブンーイレブン 横手上真山店,013-0061,横手市,横手町字上真山168番,,0182-32-7110,4.コンビニ・スーパー,
31,セブンーイレブン 横手三ノ口店,013-0061,横手市,横手町字三ノ口1-1,,0182-33-7770,4.コンビニ・スーパー,
32,蔵ショップ KooLab,018-1504,潟上市,飯田川飯塚字飯塚34-1,,018-877-2100,3.小売(お土産等),
33,田園ハム直売所,013-0203,横手市,雄物川町東里字東里北8,,0182-22-4186,3.小売(お土産等),
34,道の駅かみおか神岡物産館,019-1702,大仙市,北楢岡字船?187,,0187-72-4004,3.小売(お土産等),
35,産直センター潟の店,010-0441,南秋田郡大潟村,?5-2,,0185-22-4141,3.小売(お土産等),
36,大漁丸竿燈大通り店,010-0921,秋田市,大町2-2-41,,018-896-5554,2.飲食店(酒類提供あり),
37,御廚光琳,010-0001,秋田市,中通1-4-3,,018-832-2002,2.飲食店(酒類提供あり),
38,角館人力社,014-0324,仙北市,角館町小人町34,,090-2970-2324,14.体験型アクティビティ,
39,レストラン真珠,018-3151,能代市,二ツ井町三千苅6番地1,,0185-73-2010,1.飲食店(酒類提供なし),
40,お食事処 ?四郎,014-1201,仙北市,田沢湖卒田字柴倉378,,0187-43-0395,2.飲食店(酒類提供あり),
41,パティスリーストーブ,010-0041,秋田市,広面字近藤堰越21-2,,018-887-5656,21.その他,ケーキ
42,新玉川温泉,014-1205,仙北市,田沢湖玉川字渋黑沢2番地先,,0187-58-3000,21.その他,宿泊施設
43,玉川温泉,014-1205,仙北市,田沢湖玉川字渋黑沢国有林3014林班ロ小班,,0187-58-3000,21.その他,宿泊施設
44,タケダスポーツ大曲店,014-0044,大仙市,?蒔字錨17―1,,0187-62-1200,21.その他,スポーツ用品
45,秀よし食堂 蔵人ーKuLAND?,014-0207,大仙市,?野字高畑95-1,,0187-49-6550,2.飲食店(酒類提供あり),
46,タケダスポーツ秋田店,011-0904,秋田市,寺内蛭根1丁目16番1号,,018-862-6600,21.その他,スポーツ用品
47,そば処 田丸屋,011-0946,秋田市,土崎港中央3-11-3,,018-845-7884,2.飲食店(酒類提供あり),
48,きりたんぽ専門店 元祖むらさき,017-0847,大館市,幸町12-9,,0186-42-0741,2.飲食店(酒類提供あり),
49,阿部モーター商会,012-1241,雄勝郡羽後町,田代字明通268-1,,0183-67-2124,12.レンタカー,
50,アクセサリーズキャロル 秋田駅前店,010-0001,秋田市,中通2丁目8?1,,018-874-7768,3.小売(お土産等),
51,レストラン万葉,018-0402,にかほ市,平沢字町田108-1,,0184-37-3333,2.飲食店(酒類提供あり),
52,ホテルフォルクローロ角館 売店,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,3.小売(お土産等),
53,レストラン さくら小町,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,2.飲食店(酒類提供あり),
54,近畿日本ツーリスト東北 秋田支店,010-0951,秋田市,山王3-1-7,東カンビル2F,018-896-4890,21.その他,旅行代理店
55,kitchen sawasawa,012-0841,湯沢市,大町2ー1ー19,,0183-55-8238,2.飲食店(酒類提供あり),
56,ホテルゆとりあ藤里,018-3201,山本郡藤里町,藤琴字上湯ノ沢1-2,,0185-79-1070,21.その他,宿泊施設
57,(有)京野商店,019-0204,湯沢市,横堀字中屋敷25-6,,0183-52-2530,21.その他,ガソリンスタンド
58,焼肉大将,018-0311,にかほ市,金浦下谷地50-2,,0184-38-2066,2.飲食店(酒類提供あり),
59,タケダスポーツ 湯沢店,012-0000,湯沢市,字上荻生田162,,0183-79-5620,21.その他,スポーツ用品
60,タケダスポーツ 能代店,016-0855,能代市,字?大瀬30―3,,0185-52-5201,21.その他,スポーツ用品
61,にしめ物産株式会社,018-0604,由利本荘市,?目町沼田字新道下1112-2,,0184-33-4260,3.小売(お土産等),
62,ダイユーエイト 秋田寺内店,011-0904,秋田市,寺内蛭根一丁目16-10,,018-874-9069,21.その他,ホームセンター
63,ホテルルートイン能代,016-0855,能代市,?大瀬17-1,,0185-89-1003,21.その他,宿泊施設
64,水晶山スキー場,018-5202,鹿角市,尾去沢字尾去山国有林,,0186-23-2424,16.スポーツ,
65,史跡尾去沢鉱山,018-5202,鹿角市,尾去沢字獅子沢13-5,,0186-22-0123,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
66,タケダスポーツ大館店,017-0887,大館市,水門町5-1,,0186-42-9365,21.その他,スポーツ用品
67,ホームセンタートム,018-0128,にかほ市,象潟町太郎島54-1,,0184-43-5616,21.その他,ホームセンター
68,パインツリーイントムSS,018-0148,にかほ市,象潟町下浜山6-3,,0184-43-7555,21.その他,ガソリンスタンド
69,田沢プラトーホテル,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-36,,0187-46-2331,21.その他,宿泊施設
70,たかいし野,018-2104,山本郡三種町,鹿渡字高石野126-1,,0185-87-4311,2.飲食店(酒類提供あり),
71,直売施設グリーンぴあ,018-2104,山本郡三種町,鹿渡字高石野123-2,,0185-72-2299,3.小売(お土産等),
72,南郷夢温泉 共林荘,019-1105,横手市,山内南郷字大払川139-1,,0182-53-2800,21.その他,宿泊施設
73,林土産店,014-1201,仙北市,田沢湖生保内字男坂128,,0187-43-0459,2.飲食店(酒類提供あり),
74,(株)大館工芸社,017-0012,大館市,釈迦内字家後29-15,,0186-48-7700,3.小売(お土産等),
75,元湯 雄山閣,010-0687,男鹿市,北浦湯本字草木原52,,0185-33-3121,21.その他,宿泊施設
76,夕日温泉WAO,010-0401,男鹿市,野石字大場湯沢下1-17,,0185-47-2926,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
77,モリボの里 川口温泉 奥羽山荘,019-1613,大仙市,太田町太田字惣行大谷地10-5,,0187-88-1717,2.飲食店(酒類提供あり),
78,湯けむりの宿 稲住温泉,019-0321,湯沢市,秋ノ宮字山居野11,,0183-58-1900,21.その他,宿泊施設
79,男鹿観光ホテル,010-0687,男鹿市,北浦湯本字草木原21,,0185-33-2121,21.その他,宿泊施設
80,セイコーグランドホテル,010-0687,男鹿市,北浦湯本字草木原50-1,,0185-33-2131,21.その他,宿泊施設
81,男鹿ホテル,010-0687,男鹿市,北浦湯本字草木原13-1,,0185-33-3101,21.その他,宿泊施設
82,Branzi-no Akita,010-0001,秋田市,中通2-2-7,トラストワンビル21 B1,018-838-5922,2.飲食店(酒類提供あり),
83,伝承の味処 無限堂 卸町店,010-0061,秋田市,卸町2-2-7,(株)秋田まるごと市場内,018-862-2133,2.飲食店(酒類提供あり),
84,伝承の味処 無限堂 秋田駅前店,010-0001,秋田市,中通2-4-12,,018-825-0800,2.飲食店(酒類提供あり),
85,伝承の味処 無限堂 大町本店,010-0921,秋田市,大町1-3-2,,018-863-0008,2.飲食店(酒類提供あり),
86,秋田県産品プラザ,010-0001,秋田市,中通2-3-8,アトリオンB1F,018-836-7830,3.小売(お土産等),
87,酒の伏見屋,014-0323,仙北市,角館町横町27,,0187-53-2278,3.小売(お土産等),
88,道の駅 十文字,019-0529,横手市,十文字町字海道下21-4,,0182-23-9320,3.小売(お土産等),
89,(有)丸六物産 湖東SS,018-1721,南秋田郡五城目町,字七倉158-4,,018-852-4016,21.その他,ガソリンスタンド
90,奥山旅館,019-0404,湯沢市,高松字泥湯沢25,,0183-79-3021,21.その他,宿泊施設
91,museumshop ナナカマド,015-0363,由利本荘市,町村字鳴瀬台65-1,,0184-74-7120,3.小売(お土産等),
92,お食事処 河辺ドライブイン,019-2601,秋田市,河辺和田字坂本南262,,018-882-2361,2.飲食店(酒類提供あり),
93,湯の宿 元湯くらぶ,012-0183,湯沢市,皆瀬字湯元100-1,,0183-47-5151,2.飲食店(酒類提供あり),
94,元湯 水沢山荘,014-1201,仙北市,田沢湖生保内字下高野73-10,,0187-46-2341,21.その他,宿泊施設
95,慶,012-0827,湯沢市,表町2-3-1,,0183-72-4652,2.飲食店(酒類提供あり),
96,三浦ガレージ,015-0011,由利本荘市,石脇字赤はげ1-279,,0184-74-7225,21.その他,カー用品
97,伊藤謙商店,018-3103,能代市,二ツ井町荷上場字鍋良子出口104,,0185-73-2103,3.小売(お土産等),
98,小川忠太郎商店,012-0826,湯沢市,柳町2-1-8,,0183-73-3269,3.小売(お土産等),
99,にかほ陣屋 象潟店,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
100,さかなや中央食堂,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,2.飲食店(酒類提供あり),
101,そば処 上郷,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,2.飲食店(酒類提供あり),
102,廻船問屋 北前船,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
103,おみやげ,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
104,あがりこ大王,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
105,男鹿温泉交流会館五風,010-0687,男鹿市,北浦湯本字草木原21-2,,0185-33-3191,18.劇場、観覧場、映画館、演劇場,
106,花の鈴屋,010-0947,秋田市,川尻上野町1-74,,018-863-1319,21.その他,生花店
107,福多珈琲 道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店(酒類提供なし),
108,グリッシーニ 道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店(酒類提供なし),
109,koikoi食堂,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,2.飲食店(酒類提供あり),
110,道の駅ふたつい,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,3.小売(お土産等),
111,藤木伝四郎商店,014-0315,仙北市,角館町下新町45,,0187-54-1151,3.小売(お土産等),
112,旬樹庵ハイランドホテル山荘,014-1201,仙北市,田沢湖生保内字駒ケ岳2-31,,0187-46-2121,21.その他,宿泊施設
113,わらび劇場,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,18.劇場、観覧場、映画館、演劇場,
114,田沢湖ビール,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
115,森林工芸館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
116,温泉ゆぽぽ 温泉館,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,2.飲食店(酒類提供あり),
117,温泉ゆぽぽ 本館売店,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,3.小売(お土産等),
118,温泉ゆぽぽ,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,21.その他,宿泊施設
119,児玉商会駅前SS,018-2303,山本郡三種町,森岳字町尻50-5,,0185-83-2201,21.その他,ガソリンスタンド
120,フトンショップ ミヤコシ,016-0821,能代市,畠町7-40,,0185-54-1070,21.その他,ふとん
Unnamed: 0,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他
1,四季美館 前田商業会売店,018-4515,北秋田市,阿仁前田字大道上3番地1,,0186-75-3570,3.小売(お土産等),
2,Hostel&Bar CAMOSIBA,019-0525,横手市,十文字町曙町7-3,,0182-23-5336,2.飲食店(酒類提供あり),
3,炭火でいろいろ焼いてくれや,010-0803,秋田市,外旭川八柳3?11?5,,018-868-4129,2.飲食店(酒類提供あり),
4,ホームセンターハッピー横手店,013-0061,横手市,横手町五ノ口86?1,,0182-33-7766,21.その他,ホームセンター
5,ホームセンターハッピー本荘店,015-0011,由利本荘市,石脇字田中12,,0184-23-3666,21.その他,ホームセンター
6,ホームセンターハッピー外旭川店,010-0802,秋田市,外旭川字三後田82,,018-868-0780,21.その他,ホームセンター
7,ホームセンターハッピー湯沢店,012-0036,湯沢市,両神100?1,,0183-72-1600,21.その他,ホームセンター
8,ローソン 比内町店,018-5701,大館市,比内町扇田字新?岡171‐1,,0186-55-0908,4.コンビニ・スーパー,
9,マックハウスイオンタウンたかのすSC,018-3302,北秋田市,中綱31-1イオンタウンたかのすSC,,0186-62-5455,21.その他,衣料品小売業
10,マックハウス大曲飯田SC,014-0067,大仙市,飯田字屋舗通イオンタウン,,0187-66-4203,21.その他,衣料品小売業
11,マックハウスSSF広面店,010-0041,秋田市,広面字宮田27-1,,018-836-4668,21.その他,衣料品小売業
12,マックハウス秋田飯島店,011-0917,秋田市,飯島道東1-1-7,,018-845-4905,21.その他,衣料品小売業
13,マックハウス大館店,017-0046,大館市,清水5-1,,0186-43-6520,21.その他,衣料品小売業
14,秋田比内地鶏や,010-0001,秋田市,中通7-1-2,,018-874-7282,2.飲食店(酒類提供あり),
15,からまつ山荘,019-2401,大仙市,協和船岡字東兵衛屋敷91番地,,018-893-2211,2.飲食店(酒類提供あり),
16,鶴の湯温泉,014-1204,仙北市,田沢湖田沢字先達沢国有林50林班ハ小班,,0187-46-2139,21.その他,宿泊施設
17,伊藤肉屋,018-0402,にかほ市,平沢字旭町50,,0184-35-3980,3.小売(お土産等),
18,お食事処遊月,018-5511,鹿角郡小坂町,十和田湖字休平36-1,,0176-75-2501,21.その他,宿泊施設
19,海と入り陽の宿帝水,010-0673,男鹿市,?賀塩浜壺ヶ沢31,,0185-37-2331,21.その他,宿泊施設
20,くつさ工芸,012-0105,湯沢市,川連町字大舘川原114-2,,0183-42-4549,21.その他,仏壇・仏具
21,男鹿真山伝承館,010-0685,男鹿市,北浦真山字水喰沢97,,0185-33-3033,19.文化施設(美術館、博物館等),
22,中国料理 幸楽,018-0604,由利本荘市,?目町沼田字新道下2-637,,0184-33-2333,2.飲食店(酒類提供あり),
23,角館桜皮細工センター(武家屋敷通り店),014-0331,仙北市,角館町表町下丁18,,0187-55-5631,3.小売(お土産等),
24,角館桜皮細工センター,014-0318,仙北市,角館町中町25,,0187-55-1320,3.小売(お土産等),
25,秋田犬の里内 お土産コーナー,017-0044,大館市,御成町1丁目13番1号,,0186-57-8120,3.小売(お土産等),
26,あきた茶房,010-1211,秋田市,雄和椿川字山籠49,,018-886-3771,2.飲食店(酒類提供あり),
27,唐橋茶屋,010-0001,秋田市,中通4丁目16-2,,018-834-8841,2.飲食店(酒類提供あり),
28,日本一秋田トピコ店,010-0001,秋田市,中通7-1-2,,018-884-0021,3.小売(お土産等),
29,石川酒店JR秋田駅ビルトピコ店,010-0001,秋田市,中通七丁目1番2号,,018-833-9920,3.小売(お土産等),
30,セブンーイレブン 横手上真山店,013-0061,横手市,横手町字上真山168番,,0182-32-7110,4.コンビニ・スーパー,
31,セブンーイレブン 横手三ノ口店,013-0061,横手市,横手町字三ノ口1-1,,0182-33-7770,4.コンビニ・スーパー,
32,蔵ショップ KooLab,018-1504,潟上市,飯田川飯塚字飯塚34-1,,018-877-2100,3.小売(お土産等),
33,田園ハム直売所,013-0203,横手市,雄物川町東里字東里北8,,0182-22-4186,3.小売(お土産等),
34,道の駅かみおか神岡物産館,019-1702,大仙市,北楢岡字船?187,,0187-72-4004,3.小売(お土産等),
35,産直センター潟の店,010-0441,南秋田郡大潟村,?5-2,,0185-22-4141,3.小売(お土産等),
36,大漁丸竿燈大通り店,010-0921,秋田市,大町2-2-41,,018-896-5554,2.飲食店(酒類提供あり),
37,御廚光琳,010-0001,秋田市,中通1-4-3,,018-832-2002,2.飲食店(酒類提供あり),
38,角館人力社,014-0324,仙北市,角館町小人町34,,090-2970-2324,14.体験型アクティビティ,
39,レストラン真珠,018-3151,能代市,二ツ井町三千苅6番地1,,0185-73-2010,1.飲食店(酒類提供なし),
40,お食事処 ?四郎,014-1201,仙北市,田沢湖卒田字柴倉378,,0187-43-0395,2.飲食店(酒類提供あり),
41,パティスリーストーブ,010-0041,秋田市,広面字近藤堰越21-2,,018-887-5656,21.その他,ケーキ
42,新玉川温泉,014-1205,仙北市,田沢湖玉川字渋黑沢2番地先,,0187-58-3000,21.その他,宿泊施設
43,玉川温泉,014-1205,仙北市,田沢湖玉川字渋黑沢国有林3014林班ロ小班,,0187-58-3000,21.その他,宿泊施設
44,タケダスポーツ大曲店,014-0044,大仙市,?蒔字錨17―1,,0187-62-1200,21.その他,スポーツ用品
45,秀よし食堂 蔵人ーKuLAND?,014-0207,大仙市,?野字高畑95-1,,0187-49-6550,2.飲食店(酒類提供あり),
46,タケダスポーツ秋田店,011-0904,秋田市,寺内蛭根1丁目16番1号,,018-862-6600,21.その他,スポーツ用品
47,そば処 田丸屋,011-0946,秋田市,土崎港中央3-11-3,,018-845-7884,2.飲食店(酒類提供あり),
48,きりたんぽ専門店 元祖むらさき,017-0847,大館市,幸町12-9,,0186-42-0741,2.飲食店(酒類提供あり),
49,阿部モーター商会,012-1241,雄勝郡羽後町,田代字明通268-1,,0183-67-2124,12.レンタカー,
50,アクセサリーズキャロル 秋田駅前店,010-0001,秋田市,中通2丁目8?1,,018-874-7768,3.小売(お土産等),
51,レストラン万葉,018-0402,にかほ市,平沢字町田108-1,,0184-37-3333,2.飲食店(酒類提供あり),
52,ホテルフォルクローロ角館 売店,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,3.小売(お土産等),
53,レストラン さくら小町,014-0368,仙北市,角館町中菅沢14,,0187-53-2070,2.飲食店(酒類提供あり),
54,近畿日本ツーリスト東北 秋田支店,010-0951,秋田市,山王3-1-7,東カンビル2F,018-896-4890,21.その他,旅行代理店
55,kitchen sawasawa,012-0841,湯沢市,大町2ー1ー19,,0183-55-8238,2.飲食店(酒類提供あり),
56,ホテルゆとりあ藤里,018-3201,山本郡藤里町,藤琴字上湯ノ沢1-2,,0185-79-1070,21.その他,宿泊施設
57,(有)京野商店,019-0204,湯沢市,横堀字中屋敷25-6,,0183-52-2530,21.その他,ガソリンスタンド
58,焼肉大将,018-0311,にかほ市,金浦下谷地50-2,,0184-38-2066,2.飲食店(酒類提供あり),
59,タケダスポーツ 湯沢店,012-0000,湯沢市,字上荻生田162,,0183-79-5620,21.その他,スポーツ用品
60,タケダスポーツ 能代店,016-0855,能代市,字?大瀬30―3,,0185-52-5201,21.その他,スポーツ用品
61,にしめ物産株式会社,018-0604,由利本荘市,?目町沼田字新道下1112-2,,0184-33-4260,3.小売(お土産等),
62,ダイユーエイト 秋田寺内店,011-0904,秋田市,寺内蛭根一丁目16-10,,018-874-9069,21.その他,ホームセンター
63,ホテルルートイン能代,016-0855,能代市,?大瀬17-1,,0185-89-1003,21.その他,宿泊施設
64,水晶山スキー場,018-5202,鹿角市,尾去沢字尾去山国有林,,0186-23-2424,16.スポーツ,
65,史跡尾去沢鉱山,018-5202,鹿角市,尾去沢字獅子沢13-5,,0186-22-0123,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
66,タケダスポーツ大館店,017-0887,大館市,水門町5-1,,0186-42-9365,21.その他,スポーツ用品
67,ホームセンタートム,018-0128,にかほ市,象潟町太郎島54-1,,0184-43-5616,21.その他,ホームセンター
68,パインツリーイントムSS,018-0148,にかほ市,象潟町下浜山6-3,,0184-43-7555,21.その他,ガソリンスタンド
69,田沢プラトーホテル,014-1201,仙北市,田沢湖生保内字駒ヶ岳2-36,,0187-46-2331,21.その他,宿泊施設
70,たかいし野,018-2104,山本郡三種町,鹿渡字高石野126-1,,0185-87-4311,2.飲食店(酒類提供あり),
71,直売施設グリーンぴあ,018-2104,山本郡三種町,鹿渡字高石野123-2,,0185-72-2299,3.小売(お土産等),
72,南郷夢温泉 共林荘,019-1105,横手市,山内南郷字大払川139-1,,0182-53-2800,21.その他,宿泊施設
73,林土産店,014-1201,仙北市,田沢湖生保内字男坂128,,0187-43-0459,2.飲食店(酒類提供あり),
74,(株)大館工芸社,017-0012,大館市,釈迦内字家後29-15,,0186-48-7700,3.小売(お土産等),
75,元湯 雄山閣,010-0687,男鹿市,北浦湯本字草木原52,,0185-33-3121,21.その他,宿泊施設
76,夕日温泉WAO,010-0401,男鹿市,野石字大場湯沢下1-17,,0185-47-2926,13.観光施設(遊園地、動物園、温泉施設、観光農園等),
77,モリボの里 川口温泉 奥羽山荘,019-1613,大仙市,太田町太田字惣行大谷地10-5,,0187-88-1717,2.飲食店(酒類提供あり),
78,湯けむりの宿 稲住温泉,019-0321,湯沢市,秋ノ宮字山居野11,,0183-58-1900,21.その他,宿泊施設
79,男鹿観光ホテル,010-0687,男鹿市,北浦湯本字草木原21,,0185-33-2121,21.その他,宿泊施設
80,セイコーグランドホテル,010-0687,男鹿市,北浦湯本字草木原50-1,,0185-33-2131,21.その他,宿泊施設
81,男鹿ホテル,010-0687,男鹿市,北浦湯本字草木原13-1,,0185-33-3101,21.その他,宿泊施設
82,Branzi-no Akita,010-0001,秋田市,中通2-2-7,トラストワンビル21 B1,018-838-5922,2.飲食店(酒類提供あり),
83,伝承の味処 無限堂 卸町店,010-0061,秋田市,卸町2-2-7,(株)秋田まるごと市場内,018-862-2133,2.飲食店(酒類提供あり),
84,伝承の味処 無限堂 秋田駅前店,010-0001,秋田市,中通2-4-12,,018-825-0800,2.飲食店(酒類提供あり),
85,伝承の味処 無限堂 大町本店,010-0921,秋田市,大町1-3-2,,018-863-0008,2.飲食店(酒類提供あり),
86,秋田県産品プラザ,010-0001,秋田市,中通2-3-8,アトリオンB1F,018-836-7830,3.小売(お土産等),
87,酒の伏見屋,014-0323,仙北市,角館町横町27,,0187-53-2278,3.小売(お土産等),
88,道の駅 十文字,019-0529,横手市,十文字町字海道下21-4,,0182-23-9320,3.小売(お土産等),
89,(有)丸六物産 湖東SS,018-1721,南秋田郡五城目町,字七倉158-4,,018-852-4016,21.その他,ガソリンスタンド
90,奥山旅館,019-0404,湯沢市,高松字泥湯沢25,,0183-79-3021,21.その他,宿泊施設
91,museumshop ナナカマド,015-0363,由利本荘市,町村字鳴瀬台65-1,,0184-74-7120,3.小売(お土産等),
92,お食事処 河辺ドライブイン,019-2601,秋田市,河辺和田字坂本南262,,018-882-2361,2.飲食店(酒類提供あり),
93,湯の宿 元湯くらぶ,012-0183,湯沢市,皆瀬字湯元100-1,,0183-47-5151,2.飲食店(酒類提供あり),
94,元湯 水沢山荘,014-1201,仙北市,田沢湖生保内字下高野73-10,,0187-46-2341,21.その他,宿泊施設
95,慶,012-0827,湯沢市,表町2-3-1,,0183-72-4652,2.飲食店(酒類提供あり),
96,三浦ガレージ,015-0011,由利本荘市,石脇字赤はげ1-279,,0184-74-7225,21.その他,カー用品
97,伊藤謙商店,018-3103,能代市,二ツ井町荷上場字鍋良子出口104,,0185-73-2103,3.小売(お土産等),
98,小川忠太郎商店,012-0826,湯沢市,柳町2-1-8,,0183-73-3269,3.小売(お土産等),
99,にかほ陣屋 象潟店,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
100,さかなや中央食堂,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,2.飲食店(酒類提供あり),
101,そば処 上郷,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,2.飲食店(酒類提供あり),
102,廻船問屋 北前船,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
103,おみやげ,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
104,あがりこ大王,018-0311,にかほ市,金浦字下谷地50-2,,0184-38-3390,3.小売(お土産等),
105,男鹿温泉交流会館五風,010-0687,男鹿市,北浦湯本字草木原21-2,,0185-33-3191,18.劇場、観覧場、映画館、演劇場,
106,花の鈴屋,010-0947,秋田市,川尻上野町1-74,,018-863-1319,21.その他,生花店
107,福多珈琲 道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店(酒類提供なし),
108,グリッシーニ 道の駅ふたつい店,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,1.飲食店(酒類提供なし),
109,koikoi食堂,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,2.飲食店(酒類提供あり),
110,道の駅ふたつい,018-3102,能代市,二ツ井町小繋字泉51,,0185-74-5118,3.小売(お土産等),
111,藤木伝四郎商店,014-0315,仙北市,角館町下新町45,,0187-54-1151,3.小売(お土産等),
112,旬樹庵ハイランドホテル山荘,014-1201,仙北市,田沢湖生保内字駒ケ岳2-31,,0187-46-2121,21.その他,宿泊施設
113,わらび劇場,014-1192,仙北市,田沢湖卒田字早稲田430,,0187-44-3311,18.劇場、観覧場、映画館、演劇場,
